Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,12.3015873015873,99667.00537521021,100176.62010833331,118.33809569575743,-0.33299462478978964,16.508084827770052,-0.332994624791072,0.8540821251419661,-0.232567568236286,-0.3898859547443654,-0.5409005514572411,-0.27157737708078933,-0.7809607809306849,0.027136167569682124,-1.2261500879434895,-1.2261500879434895,233 days,233 days,3,66.66666666666666,2.8225600497440375,-7.353071022894627,-1.2146457695688895,21 days,13 days,0.5463528214439335,-1.1118999744195062,-0.35456324291486074,-0.5589733797428448,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27   99667.005375     0.005087              NaT
2010-12-28   99667.005375     0.005087              NaT
2010-12-29   99667.005375     0.005087              NaT
2010-12-30   99667.005375     0.005087              NaT
2010-12-31   99667.005375     0.005087         233 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0   129        88  ...                     75.830438                    72.939427
1   135        97  ...                     72.344968                    70.385706
2   135       163  ...                     72.237903                    71.819372

[3 rows x 20 columns]",DIA,20,15,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,15.079365079365079,100256.05818429659,100292.27007924832,279.4609860874179,0.2560581842965912,5.224706052733925,0.2560581842967258,0.9391875971418776,0.17867519684089395,0.2726379533502768,0.3880677203608368,0.3681570027616882,0.14248548488493726,0.021737624713303233,-0.6955135509468358,-0.3285623378814958,183 days,97 days,7,57.14285714285714,3.6588434924881037,-2.2289692909363437,0.3507770722016579,17 days,7 days,1.5188672251065674,0.36999751881074405,0.45806057778828935,0.19423411614900665,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23  100256.058184     0.000361              NaT
2011-12-27  100256.058184     0.000361              NaT
2011-12-28  100256.058184     0.000361              NaT
2011-12-29  100256.058184     0.000361              NaT
2011-12-30  100256.058184     0.000361          30 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0   113        48  ...                     87.857987                    86.635102
1   113        52  ...                     86.153142                    86.251306
2   109       100  ...                     91.038365                    90.854529
3   122       152  ...                     80.505435                    79.654655
4   119       154  ...                     79.110499                    79.062564
5   118       185  ...                     80.141266                    79.122863
6   115       229  ...                     84.124896                    84.243629

[7 rows x 20 columns]",DIA,20,15,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,11.952191235059761,100003.91252384696,100105.03060901028,199.1527546318146,0.0039125238469569015,8.708800179640608,0.003928111896978059,0.5074171824144755,0.002701232981405788,0.007741385260717175,0.011450035440611628,0.009474623958851314,-0.1589317528915827,0.01869881882457657,-0.41459290775422986,-0.2527640900458039,260 days,133 days,5,80.0,1.342560228317206,-3.4443237041245065,-0.004714871961997158,14 days,8 days,1.0162473538482257,0.011192229197748461,0.008886331914954918,0.009016444356403919,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000      0.00000              NaT
2012-01-04  100000.000000      0.00000              NaT
2012-01-05  100000.000000      0.00000              NaT
2012-01-06  100000.000000      0.00000              NaT
2012-01-09  100000.000000      0.00000              NaT
...                   ...          ...              ...
2012-12-26  100003.912524      0.00101              NaT
2012-12-27  100003.912524      0.00101              NaT
2012-12-28  100003.912524      0.00101              NaT
2012-12-31  100003.912524      0.00101              NaT
2013-01-02  100003.912524      0.00101         260 days

[251 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0   102        70  ...                     96.568268                    96.463945
1   105        97  ...                     93.267664                    91.809032
2   107       107  ...                     91.610321                    91.843455
3    99       169  ...                     99.354996                    99.159201
4   101       216  ...                     97.459931                    95.983367

[5 rows x 20 columns]",DIA,20,15,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,9.126984126984127,100486.27630885298,100524.25762643533,200.0080758563889,0.48627630885297546,21.1725067981846,0.4862763088513855,0.3337564671076633,0.3364015057245817,1.4569794349318848,3.065015261936763,3.060951204358627,0.2378465301469203,0.011733602500359397,-0.15886444323547355,-0.07813198953172118,100 days,51 days,5,100.0,1.5597271281798886,0.6762021268639008,0.9779355807258305,18 days,6 days,,0.9783967546058474,6.340445385548937,,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26  100486.276309     0.000378              NaT
2013-12-27  100486.276309     0.000378              NaT
2013-12-30  100486.276309     0.000378              NaT
2013-12-31  100486.276309     0.000378              NaT
2014-01-02  100486.276309     0.000378          15 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0    92        37  ...                    106.640270                   106.673846
1    84       107  ...                    116.617241                   116.757314
2    85       161  ...                    116.077485                   114.710287
3    85       194  ...                    115.570282                   115.576112
4    80       240  ...                    123.943609                   123.777938

[5 rows x 20 columns]",DIA,20,15,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,11.904761904761903,100514.33064674282,100661.69670322695,280.13610057189726,0.5143306467428191,15.771604536980957,0.5143306467420672,0.4612275501742543,0.35579393860727393,1.115134268427266,1.773477044831999,1.150899004158072,0.23031199554322646,0.018008228048936377,-0.4468946839677912,-0.12343077343087484,119 days,57 days,7,71.42857142857143,3.6771376303586325,-2.49039020352474,0.7157995010777407,12 days,5 days,2.141311923117753,0.737715430113254,0.8632328004398062,0.3810264805607708,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26  100514.330647     0.001464              NaT
2014-12-29  100514.330647     0.001464              NaT
2014-12-30  100514.330647     0.001464              NaT
2014-12-31  100514.330647     0.001464              NaT
2015-01-02  100514.330647     0.001464          91 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0    82        22  ...                    120.763708                   120.314674
1    78        70  ...                    127.126040                   127.225589
2    76       149  ...                    130.227138                   129.773651
3    73       190  ...                    134.516639                   134.050057
4    73       193  ...                    133.558472                   132.924775
5    76       200  ...                    128.557985                   128.597145
6    70       242  ...                    138.131763                   138.154894

[7 rows x 20 columns]",DIA,20,15,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,7.569721115537849,100116.56921126829,100136.11060199465,80.10247200036832,0.1165692112682882,2.665160068747177,0.11703390209458764,0.5524590136850018,0.08158418729005135,0.21184178227801964,0.30358380471004043,0.323309543766284,0.08033845484148595,0.013594214040522298,-0.3619871555019416,-0.13756859705603697,162 days,74 days,2,100.0,0.6014153505214961,0.5685718760159366,0.5849922727434231,20 days,13 days,,0.5849936132687164,37.2931049228373,,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  100116.569211     0.000195              NaT
2015-12-28  100116.569211     0.000195              NaT
2015-12-29  100116.569211     0.000195              NaT
2015-12-30  100116.569211     0.000195              NaT
2015-12-31  100116.569211     0.000195         126 days

[251 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0    69        47  ...                    142.804843                   142.703403
1    74       163  ...                    130.296119                   128.362807

[2 rows x 20 columns]",DIA,20,15,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,5.158730158730158,100069.14071772358,100198.0917396876,159.3846846891406,0.06914071772358148,23.14076410382903,0.06914071772106123,0.24028330245246687,0.04825939813384306,0.28774665994420784,0.46017337795065644,0.36931758764662714,0.003273050357219559,0.00284639120259054,-0.1872120907147723,-0.1872120907147723,183 days,183 days,4,50.0,1.6624432040370811,-1.0687755317114571,0.1683771867495354,7 days,3 days,1.4304977344322962,0.1739933144897287,0.28384576196399625,0.15048037374830153,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23  100069.140718     0.001287              NaT
2016-12-27  100069.140718     0.001287              NaT
2016-12-28  100069.140718     0.001287              NaT
2016-12-29  100069.140718     0.001287              NaT
2016-12-30  100069.140718     0.001287         183 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0    68       123  ...                    144.332173                   144.311845
1    65       175  ...                    152.364169                   151.761763
2    65       178  ...                    151.325000                   150.867746
3    65       215  ...                    150.437460                   149.899545

[4 rows x 20 columns]",DIA,20,15,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,8.73015873015873,99793.36198706864,100000.0,157.38270645591007,-0.20663801293136203,27.740163048559165,-0.20663801293103745,0.19283962626134862,-0.14310260539901476,-1.071553689131239,-1.379723262575772,-0.5692959549381323,-0.4543053735603307,0.008928114813003329,-0.3629711596202956,-0.3629711596202956,286 days,286 days,4,25.0,1.2705323779143383,-1.2961376378350165,-0.5278499594026598,19 days,8 days,0.3781210954511477,-0.52239698662442,-0.8722414700932681,-0.415365445088269,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-03  100000.000000     0.000000              NaT
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-26   99793.361987     0.002066              NaT
2017-12-27   99793.361987     0.002066              NaT
2017-12-28   99793.361987     0.002066              NaT
2017-12-29   99793.361987     0.002066              NaT
2018-01-02   99793.361987     0.002066         286 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0    56        55  ...                    175.220480                   174.526763
1    56        59  ...                    174.385291                   173.969858
2    57        72  ...                    174.142721                   173.716916
3    56        75  ...                    173.673127                   173.263072

[4 rows x 20 columns]",DIA,20,15,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,15.139442231075698,100054.67448429368,100248.29627099624,198.827488267402,0.05467448429367505,-8.907215206056653,0.05489237069924435,0.8387125004833323,0.03784838293903192,0.06544837553704164,0.0842489174184716,0.08852324541458552,0.23579198203762813,0.0203337960915998,-0.6200899034164875,-0.305932710857022,266 days,59 days,5,40.0,4.0745822726362,-3.1458835250707042,0.07754569139242218,16 days,10 days,1.1113742432028046,0.10672838770754921,0.09108985056708002,0.04138032848379525,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26   99930.240488     0.002190              NaT
2018-12-27  100162.705146     0.000000         266 days
2018-12-28  100128.291236     0.000344              NaT
2018-12-31  100248.296271     0.000000           4 days
2019-01-02  100054.674484     0.001931              NaT

[251 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0    46        24  ...                    213.427351                   208.524182
1    47        27  ...                    207.445773                   205.861890
2    47        57  ...                    206.287248                   202.786581
3    44       199  ...                    220.585228                   213.161252
4    50       247  ...                    193.543284                   192.793284

[5 rows x 20 columns]",DIA,20,15,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,14.285714285714285,99917.0396825278,100134.7097042861,197.23090665662465,-0.08296031747219967,17.923831044734793,-0.08296031747255794,0.5688981221840407,-0.057441398976454394,-0.1458263162375494,-0.18584259067778958,-0.16117561034193711,-0.5202366512634808,0.02439636552586971,-0.5147200453998968,-0.21790074689576056,226 days,79 days,5,40.0,1.7454255360819058,-2.446233527332044,-0.17094466640481532,19 days,9 days,0.7448733916309386,-0.1613251135971241,-0.2426897222796374,-0.14377110226761824,"BollingerBandsStrategy(n_fast=20,n_slow=15)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26   99917.039683     0.002174              NaT
2019-12-27   99917.039683     0.002174              NaT
2019-12-30   99917.039683     0.002174              NaT
2019-12-31   99917.039683     0.002174              NaT
2020-01-02   99917.039683     0.002174         226 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__bollinge…(C,20,2.0)_2  Exit__bollinge…(C,20,2.0)_2
0    44        89  ...                    227.953847                   226.939442
1    44        91  ...                    226.256771                   220.993520
2    44       104  ...                    221.320493                   221.417618
3    42       150  ...                    231.349064                   226.047329
4    41       191  ...                    235.342846                   233.966591

[5 rows x 20 columns]",DIA,20,15,2014-01-03,2019-01-02,2019-01-03,2020-01-02
