Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,41.269841269841265,102278.08653634004,102775.91882151044,1172.101692164762,2.278086536340037,17.959445926274352,2.2780865363380753,8.142260838296792,1.584827414741996,0.2797855020344212,0.4145796251470468,0.2972837259068621,0.321599200254332,0.10893918131535442,-7.663004523334694,-1.7668182621294517,87 days,20 days,3,33.33333333333333,10.038790700734243,-3.7915278744461594,0.7557998433846969,108 days,50 days,1.3991177678206408,0.9545681400684134,0.17755099041679412,0.08158573187174706,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27  102458.487738     0.001641              NaT
2010-12-28  102680.071394     0.000000           5 days
2010-12-29  102775.918822     0.000000              NaT
2010-12-30  102598.350699     0.001728              NaT
2010-12-31  102278.086536     0.004844           2 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  1296       148      159   76.962961  ...        76.390973      75.384532        75.873110        75.645893
1 -1291       159      175   74.347510  ...        75.384532      75.381062        75.645893        74.906824
2  1211       175      251   76.561284  ...        75.381062      84.529027        74.906824        79.769499

[3 rows x 18 columns]",DIA,10,100,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,55.952380952380956,80185.42349602758,100508.63114884657,1433.3651418927175,-19.814576503972418,0.06608749294196073,-19.81457650397337,15.267536738834272,-14.285802457427977,-1.2978240591734302,-1.4936329962707315,-0.7356216165573288,-19.798506503846177,-0.24316250187237623,-26.93582686803654,-13.984315398509157,198 days,100 days,4,25.0,1.1785245065921721,-9.524785141409446,-5.385539413462892,83 days,50 days,0.05261769757104348,-5.304837117857283,-2.364978876056777,-5.3166673766233155,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23   80543.005491     0.198646              NaT
2011-12-27   80569.274350     0.198385              NaT
2011-12-28   79637.049527     0.207660              NaT
2011-12-29   80470.786107     0.199364              NaT
2011-12-30   80185.423496     0.202204         198 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0 -1125       111      128   88.667056  ...        89.851216      91.386198        90.291182        90.668015
1   991       128      149   94.088766  ...        91.386198      89.337640        90.668015        91.075989
2  -987       149      207   85.486163  ...        89.337640      87.431045        91.075989        86.806677
3   873       207      251   90.559174  ...        87.431045      90.955305        86.806677        86.432397

[4 rows x 18 columns]",DIA,10,100,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,43.02788844621514,97033.2309914421,105661.56824452235,1188.281256488375,-2.966769008557894,8.544130072396634,-2.978411013817517,7.0566703871262755,-2.0578203452204846,-0.4220703037584317,-0.5693485952452296,-0.2785521859746184,-5.112050722047661,0.2510825204335886,-10.69247043743864,-2.3196220396025344,89 days,21 days,3,33.33333333333333,0.8909917327376499,-3.409257075731025,-1.0013608572141286,108 days,53 days,0.23167652406289085,-0.9849507021298165,-0.787973792135545,-1.1571617088750645,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-26   95634.938140     0.094894              NaT
2012-12-27   95481.492812     0.096346              NaT
2012-12-28   94363.736296     0.106925              NaT
2012-12-31   95466.905463     0.096484              NaT
2013-01-02   97033.230991     0.081660          89 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  1014       143      216   98.367828  ...        97.500697      99.732488        97.173100       100.125717
1 -1010       216      239   98.331766  ...        99.732488     100.862693       100.125717       100.752282
2   947       239      250  101.284916  ...       100.862693     101.500566       100.752282       101.074798

[3 rows x 18 columns]",DIA,10,100,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,34.92063492063492,93173.9733151399,100000.0,1507.477014527654,-6.8260266848601026,8.076349266221355,-6.8260266848591105,5.533737157011831,-4.7768757604636285,-1.2335292572054695,-1.4944860655614531,-0.5162345975664998,-7.476262774083414,0.08051114034194498,-13.222722221712003,-13.222722221712003,128 days,128 days,4,25.0,7.034215835903396,-5.5656501607517,-1.754118514569314,72 days,32 days,0.5190622014456321,-1.6293905957964454,-0.6460407860694393,-0.2795351905541237,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26   93173.737007     0.068263              NaT
2013-12-27   93179.415153     0.068206              NaT
2013-12-30   93247.323158     0.067527              NaT
2013-12-31   93745.282371     0.062547              NaT
2014-01-02   93173.973315     0.068260         128 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -864       164      177  115.494474  ...       116.994513     119.063018       117.744737       118.338623
1   776       177      192  121.448606  ...       119.063018     118.357767       118.338623       118.791023
2  -773       192      202  116.959746  ...       118.357767     119.624040       118.791023       118.845516
3   717       202      251  121.042157  ...       119.624040     128.941187       118.845516       121.949258

[4 rows x 18 columns]",DIA,10,100,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,39.682539682539684,91397.945972435,100000.0,1532.5828132873996,-8.602054027564998,8.412833016965678,-8.602054027566163,6.827268669644974,-6.0371904528244364,-1.259955399999438,-1.4611059322669706,-0.6824970517846013,-10.55588367344588,0.2322439589542197,-12.603796609924412,-12.603796609924412,144 days,144 days,4,25.0,3.295668642438919,-6.160907809900972,-2.231040233937742,59 days,36 days,0.27503467309721624,-2.1717675337287927,-1.179016376850185,-0.7393212792113135,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26   92369.980368     0.076300              NaT
2014-12-29   92329.065817     0.076709              NaT
2014-12-30   91996.023703     0.080040              NaT
2014-12-31   91186.525045     0.088135              NaT
2015-01-02   91397.945972     0.086021         144 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -756       152      158  131.968870  ...       131.882541     133.151646       132.376301       132.679405
1   719       158      196  134.954510  ...       133.151646     133.787683       132.679405       134.753213
2  -716       196      211  131.229165  ...       133.787683     136.094443       134.753213       134.897342
3   636       211      251  138.774066  ...       136.094443     144.199519       134.897342       138.096323

[4 rows x 18 columns]",DIA,10,100,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,50.59760956175299,96478.72598266906,108062.2744887154,1569.286521688198,-3.521274017330943,-2.5922296843901935,-3.535052062830424,11.216066512716065,-2.478113929811898,-0.3151775231381346,-0.43865337851132374,-0.27994242770505023,-4.1853377326285885,-0.25617472066479435,-12.627782404441334,-5.946763392524771,128 days,58 days,4,0.0,-0.36222698073576476,-1.5745250490809704,-0.894565581934148,86 days,46 days,0.0,-0.8936056011926409,-3.509897819754121,,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24   96743.532558     0.104743              NaT
2015-12-28   96611.194362     0.105967              NaT
2015-12-29   97714.162380     0.095761              NaT
2015-12-30   97063.445141     0.101782              NaT
2015-12-31   96478.725983     0.107193         128 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -689       124      137  144.779046  ...       145.349149     146.024455       145.703977       145.664904
1   680       137      142  145.438383  ...       146.024455     145.061697       145.664904       145.524433
2  -677       142      203  143.726749  ...       145.061697     141.039148       145.524433       140.530154
3   669       203      250  144.273758  ...       141.039148     143.819975       140.530154       140.542909

[4 rows x 18 columns]",DIA,10,100,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,18.650793650793652,98316.31403627276,100000.0,1576.6606668860722,-1.6836859637272428,12.369812908642102,-1.683685963728332,3.81711785662789,-1.1783249312770305,-0.4410882836129483,-0.5267712952833027,-0.2471340516338289,-1.5325700914376217,-0.01221650427582819,-6.812844901774195,-6.812844901774195,67 days,67 days,4,25.0,5.596443567954468,-5.0235095785356805,-0.4259999121635105,49 days,17 days,0.798463758169014,-0.3531425793486025,-0.20012979953036608,-0.08094013986887177,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23   98910.904793     0.010891              NaT
2016-12-27   98990.335396     0.010097              NaT
2016-12-28   98428.910958     0.015711              NaT
2016-12-29   98384.175728     0.016158              NaT
2016-12-30   98316.314036     0.016837          67 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -652       205      208  152.878709  ...       152.402072     152.544907       152.417510       152.509750
1   650       208      211  152.878621  ...       152.544907     152.300166       152.509750       152.590433
2  -647       211      218  151.062518  ...       152.300166     153.598412       152.590433       153.055218
3   588       218      251  158.032967  ...       153.598412     167.839345       153.055218       157.007921

[4 rows x 18 columns]",DIA,10,100,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,0.0,100000.0,100000.0,,0.0,19.30912731589839,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"FixedSma(n_fast=10,n_slow=100)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2017-01-03  100000.0          0.0               NaN
2017-01-04  100000.0          0.0               NaN
2017-01-05  100000.0          0.0               NaN
2017-01-06  100000.0          0.0               NaN
2017-01-09  100000.0          0.0               NaN
...              ...          ...               ...
2017-12-26  100000.0          0.0               NaN
2017-12-27  100000.0          0.0               NaN
2017-12-28  100000.0          0.0               NaN
2017-12-29  100000.0          0.0               NaN
2018-01-02  100000.0          0.0               NaN

[252 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",DIA,10,100,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,58.964143426294825,86820.26509222933,100000.0,3317.872378604174,-13.179734907770674,-4.46785895181931,-13.228606879322225,11.146615127917315,-9.320958554855796,-1.1867824202694903,-1.3732101912893953,-0.5854432308725923,-13.785903773969833,-0.13567323246682325,-22.595883224416536,-22.595883224416536,216 days,216 days,9,33.33333333333333,6.1014477980905255,-5.50150338957153,-1.5622636970722747,100 days,24 days,0.34540313495059394,-1.504647622718518,-1.4020915115139974,-0.7444226389728341,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26   87159.106827     0.128409              NaT
2018-12-27   86310.833817     0.136892              NaT
2018-12-28   86570.291687     0.134297              NaT
2018-12-31   85665.447968     0.143346              NaT
2019-01-02   86820.265092     0.131797         216 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -465       103      105  214.475354  ...       215.200290     215.148880       215.323005       215.262873
1   455       105      106  216.235483  ...       215.148880     215.439912       215.262873       215.245620
2  -454       106      107  217.176535  ...       215.439912     215.779741       215.245620       215.217293
3   441       107      124  219.773156  ...       215.779741     212.681392       215.217293       213.832352
4  -439       124      133  210.240576  ...       212.681392     215.272295       213.832352       213.992855
5   404       133      204  218.504619  ...       215.272295     221.961412       213.992855       222.908378
6  -403       204      217  221.591000  ...       221.961412     224.310890       222.908378       223.467362
7   379       217      224  227.999987  ...       224.310890     222.031985       223.467362       224.024852
8  -377       224      250  216.345251  ...       222.031985     202.686006       224.024852       222.147535

[9 rows x 18 columns]",DIA,10,100,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,59.12698412698413,93439.07818993228,100000.0,1522.607440885179,-6.5609218100677245,15.444583260513514,-6.560921810067244,8.836652093301751,-4.589387202000261,-0.7424669140296326,-0.8870070932842162,-0.43033569566978486,-10.428451246827823,0.2504133243043236,-15.246055291452565,-15.246055291452565,216 days,216 days,4,25.0,6.975521650343625,-5.608173117667623,-1.6889321904186239,115 days,54 days,0.5280639073963563,-1.5585236869182424,-0.6068167993862509,-0.2698684546090807,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26   93502.114173     0.064979              NaT
2019-12-27   93590.349463     0.064097              NaT
2019-12-30   93002.342505     0.069977              NaT
2019-12-31   93188.490576     0.068115              NaT
2020-01-02   93439.078190     0.065609         216 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -451       103      112  221.040462  ...       225.833475     229.748895       227.153429       228.720414
1   405       112      155  232.522389  ...       229.748895     232.495735       228.720414       234.136973
2  -403       155      171  228.802583  ...       232.495735     235.947519       234.136973       234.588648
3   362       171      251  240.695232  ...       235.947519     257.308675       234.588648       244.267847

[4 rows x 18 columns]",DIA,10,100,2014-01-03,2019-01-02,2019-01-03,2020-01-02
