Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,17.46031746031746,103227.21742931969,107761.81170405418,406.4240893077159,3.227217429319688,3.170688624286516,3.2272174293173306,6.926477452954535,2.241969491485718,0.4659247721857146,0.7773906467726285,0.6608877391651052,3.005571151432039,0.06990477594990095,-4.883155244178461,-1.5134548391361302,21 days,8 days,1,100.0,3.2340347238202916,3.2340347238202916,3.2340347238202893,63 days,63 days,,3.2340347238202916,,,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27  102499.635145     0.048832              NaT
2010-12-28  102696.353864     0.047006              NaT
2010-12-29  102991.431943     0.044268              NaT
2010-12-30  103384.827222     0.040617              NaT
2010-12-31  103227.217429     0.042080          21 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  7368       208      251   13.543594  ...        13.130336      14.032082         13.07405        13.283869

[1 rows x 18 columns]",INTC,10,100,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,51.19047619047619,85572.35603456522,100670.6162287928,1476.1541841229155,-14.427643965434777,8.925380089353158,-14.427643965435166,19.25297025196616,-10.305739850429108,-0.7493723709442588,-0.8880526373138411,-0.5019672981226255,-17.20007582246756,0.3106233941050805,-28.74219898267285,-16.147534930806305,176 days,92 days,4,25.0,9.123212950777898,-11.423519853948182,-3.8287485024967705,94 days,46 days,0.39296459195594696,-3.523290271957312,-0.9414039421868218,-0.505134494211611,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23   85638.543297     0.149319              NaT
2011-12-27   86200.032052     0.143742              NaT
2011-12-28   85041.934861     0.155246              NaT
2011-12-29   86164.951111     0.144090              NaT
2011-12-30   85572.356035     0.149977         176 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0 -6832       123      125   14.605953  ...        14.525903      14.667010        14.534253        14.545769
1  6388       125      152   15.067268  ...        14.667010      14.527360        14.545769        14.760826
2 -6362       152      185   13.885419  ...        14.527360      15.019822        14.760826        14.781974
3  5078       185      251   15.413025  ...        15.019822      16.576928        14.781974        15.622355

[4 rows x 18 columns]",INTC,10,100,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,37.05179282868526,111295.58596184073,118220.61040777001,742.9750815873749,11.295585961840725,-15.050541574397808,11.343049419240025,12.431789920742494,7.668553724227523,0.9124228684329759,1.6515540266577011,1.9364295919797379,6.326943441534965,-0.33013048040462706,-5.857713322612101,-2.1070554591654624,42 days,11 days,2,50.0,16.09914297410267,-4.118566999113358,5.507119184118481,132 days,69 days,3.908918557733425,5.990287987494655,0.5788034782643579,0.36660894546587885,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-26  113345.174521     0.041240              NaT
2012-12-27  113874.281358     0.036765              NaT
2012-12-28  114932.510151     0.027813              NaT
2012-12-31  113458.532957     0.040281              NaT
2013-01-02  111295.585962     0.058577          42 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  5306       158      162   18.806979  ...        18.782205      18.569857        18.740364        18.686774
1 -5285       162      250   18.106227  ...        18.569857      14.866659        18.686774        15.843772

[2 rows x 18 columns]",INTC,10,100,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,42.857142857142854,92675.3748946774,105119.71972543588,1528.397399707462,-7.324625105322601,9.161751957786608,-7.324625105322047,10.937958092597404,-5.129941922700809,-0.6696519627625206,-0.7916627100267598,-0.37745618343926396,-7.923222954181502,0.06533661374123433,-19.4052327837958,-5.089685265987864,139 days,38 days,4,25.0,7.244296407895863,-7.36082095827339,-1.8875961193739244,72 days,39 days,0.510225852598026,-1.7384796745587854,-0.6425321948813355,-0.2930992562846111,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26   92572.938832     0.119357              NaT
2013-12-27   92212.804629     0.122783              NaT
2013-12-30   93113.181704     0.114218              NaT
2013-12-31   93509.341336     0.110449              NaT
2014-01-02   92675.374895     0.118383         139 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0 -5853       144      182   17.051129  ...        16.854862      17.307118        16.932372        17.245549
1  5613       182      190   17.372690  ...        17.307118      17.052937        17.245549        17.193686
2 -5591       190      202   16.650670  ...        17.052937      17.350587        17.193686        17.151862
3  4843       202      251   17.807379  ...        17.350587      18.963134        17.151862        17.542285

[4 rows x 18 columns]",INTC,10,100,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,20.634920634920633,95808.74576287238,100000.0,789.9654522789274,-4.191254237127621,37.060502069151646,-4.191254237127673,11.551400158127949,-2.9206978751806,-0.362835169741615,-0.5034700466583406,-0.3242513592621311,-4.769360011119814,0.015598973076875711,-12.925941919458172,-12.925941919458172,77 days,77 days,2,50.0,7.35220678920331,-10.762144236985986,-2.1231347799891,59 days,37 days,0.6831544557762169,-1.7049687238913376,-0.24241998189395422,-0.3199925764937749,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26   98304.383062     0.016956              NaT
2014-12-29   97335.790212     0.026642              NaT
2014-12-30   96236.311010     0.037637              NaT
2014-12-31   95005.958471     0.049940              NaT
2015-01-02   95808.745763     0.041913          77 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0 -4218       200      211   23.659668  ...        24.541565      25.492069        24.826018        25.294809
1  3412       211      251   26.106423  ...        25.492069      28.357560        25.294809        26.567892

[2 rows x 18 columns]",INTC,10,100,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,56.573705179282875,106071.93668900138,118119.40637387511,810.5148684468084,6.071936689001377,2.8546890696769203,6.0968505985742105,16.76034088744235,4.2126282252811675,0.36376650329005317,0.5714722095848308,0.3428653913258175,6.470175314515095,-0.1395033279609639,-17.782053111276277,-5.020069731093877,128 days,32 days,2,50.0,8.37943530459483,-2.11783018199349,2.9971567144646993,119 days,102 days,3.956613413029821,3.1308025613006705,0.5895764715492346,0.37090160939197914,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  106772.796370     0.096061              NaT
2015-12-28  106620.228041     0.097352              NaT
2015-12-29  108176.864019     0.084174              NaT
2015-12-30  106803.373385     0.095802              NaT
2015-12-31  106071.936689     0.101994         128 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0 -4013       109      192   24.867324  ...        25.275169      23.955591        25.412770        23.506175
1  3862       192      250   25.293650  ...        23.955591      27.466578        23.506175        25.152175

[2 rows x 18 columns]",INTC,10,100,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,59.523809523809526,101906.33981371124,121584.06813577142,1283.3872432496396,1.906339813711238,17.303706753011788,1.9063398137089127,15.753292415118095,1.3269428441393227,0.12101215183941101,0.16167531136834384,0.11140340823548431,-3.0376070838765052,0.2857160588858932,-17.112042117053505,-3.702319500854624,84 days,19 days,3,33.33333333333333,10.217517387021225,-7.344543334719264,0.6321147837319963,155 days,71 days,1.352547001735337,0.8877461350946004,0.1200892324024727,0.06232593953649129,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23  102610.007758     0.156057              NaT
2016-12-27  102887.509429     0.153775              NaT
2016-12-28  101666.512451     0.163817              NaT
2016-12-29  101749.748689     0.163133              NaT
2016-12-30  101906.339814     0.161845          84 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  3938       102      211   25.338980  ...        24.694051      28.310224        24.509949        28.430379
1 -3922       211      242   28.034742  ...        28.310224      29.266668        28.430379        28.991827
2  3399       242      251   29.977741  ...        29.266668      30.036524        28.991827        29.172973

[3 rows x 18 columns]",INTC,10,100,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,58.730158730158735,110174.18845044376,113203.35874259353,1906.5447427547779,10.174188450443761,30.9470870269361,10.174188450446465,16.228506790035002,6.938037771432115,0.6269331234278346,1.197044618847755,0.6035237251578988,-2.5657193674741787,0.4116674311488259,-16.85797596073727,-4.263234476523942,116 days,26 days,5,20.0,29.137618836159646,-4.972456099662493,1.9594967615340853,111 days,43 days,1.874593509093931,2.7188371431922387,0.35669075145208573,0.08199127917064802,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-03  100000.000000     0.000000              NaT
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-26  109681.000153     0.031115              NaT
2017-12-27  109752.387769     0.030485              NaT
2017-12-28  110014.178407     0.028172              NaT
2017-12-29  109871.359918     0.029434              NaT
2018-01-02  110174.188450     0.026759          13 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  3321       104      116   30.043614  ...        29.853090      29.528383        29.729159        29.659082
1 -3308       116      148   29.364380  ...        29.528383      29.488329        29.659082        29.328133
2  3066       148      164   30.419358  ...        29.488329      29.230123        29.328133        29.391703
3 -3054       164      175   29.025659  ...        29.230123      29.605671        29.391703        29.401430
4  2835       175      251   30.043809  ...        29.605671      39.098686        29.401430        34.231218

[5 rows x 18 columns]",INTC,10,100,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,50.59760956175299,83512.40197065443,112747.52981075413,1918.311576141655,-16.487598029345566,-14.02523659816679,-16.547524128972636,19.32759848223832,-11.727058636136645,-0.8561603835147695,-1.0013200991088347,-0.6021654486119773,-19.576704274026323,-0.22025341412668417,-27.480029229700143,-8.12337566280186,70 days,26 days,5,20.0,0.8178329356811004,-8.602164036484208,-3.5471730924272804,135 days,37 days,0.044694802040570615,-3.496066740867929,-2.2255082482968263,-4.0401170127260375,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26   83237.532597     0.261735              NaT
2018-12-27   82899.128938     0.264737              NaT
2018-12-28   82122.776078     0.271622              NaT
2018-12-31   81764.475663     0.274800              NaT
2019-01-02   83512.401971     0.259297          70 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0 -2394       124      219   41.687390  ...        43.300828      41.017538        43.753067        40.943513
1  2443       219      227   41.180720  ...        41.017538      40.956965        40.943513        40.832788
2 -2433       227      228   40.397568  ...        40.956965      41.083477        40.832788        40.812442
3  2322       228      246   41.258180  ...        41.083477      39.978437        40.812442        40.311019
4 -2313       246      250   37.867335  ...        39.978437      39.639353        40.311019        40.225560

[5 rows x 18 columns]",INTC,10,100,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,44.44444444444444,90501.18264391313,100000.0,1084.5270210613266,-9.498817356086874,41.3538755672028,-9.498817356087997,15.610612916965874,-6.67641646084337,-0.6084845871595806,-0.8109580418602029,-0.3646108499438377,-15.36532258548415,0.14186107466188547,-26.051932786835973,-26.051932786835973,162 days,162 days,3,33.33333333333333,16.951938922947953,-12.208655578521943,-3.2798193083120486,113 days,54 days,0.7038360547857512,-2.377709542022781,-0.38921239672956887,-0.24186334325473485,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26   90050.446638     0.099496              NaT
2019-12-27   90441.719519     0.095583              NaT
2019-12-30   89749.477011     0.102505              NaT
2019-12-31   90095.585249     0.099044              NaT
2020-01-02   90501.182644     0.094988         162 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  2181       140      150   45.756184  ...        44.178114      42.986158        43.732020        43.398253
1 -2172       150      173   40.494493  ...        42.986158      43.265768        43.398253        42.020483
2  1706       173      251   45.266803  ...        43.265768      52.301871        42.020483        47.120508

[3 rows x 18 columns]",INTC,10,100,2014-01-03,2019-01-02,2019-01-03,2020-01-02
