Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,30.158730158730158,112497.69626185726,113073.32614003526,424.9940220413595,12.497696261857257,19.149697625919046,12.497696261859371,7.383395528560313,8.56788309415748,1.6926759799764235,3.52488734446594,3.3638046892129667,9.95735211439965,0.13265714149027916,-3.7153453950334647,-0.7918092046327291,28 days,7 days,1,100.0,12.524353048747674,12.524353048747674,12.524353048747683,107 days,107 days,,12.524353048747674,,,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27  112830.910452     0.001033              NaT
2010-12-28  112992.491233     0.000000           6 days
2010-12-29  113073.326140     0.000000              NaT
2010-12-30  112893.751380     0.001588              NaT
2010-12-31  112497.696262     0.005091           2 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  1167       176      251   85.507421  ...         84.48122      96.522397        83.767501        89.429677

[1 rows x 18 columns]",SPY,10,100,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,56.74603174603175,74873.28252472036,101155.55394634996,2082.2893433858717,-25.12671747527964,-3.6341915282468094,-25.126717475279182,14.943318544193717,-18.29051016279477,-1.68146837002563,-1.7308640942687796,-0.8604377985969638,-26.45838299105954,-0.36642689451821975,-29.202247409691896,-10.403953912078807,198 days,69 days,6,16.666666666666664,0.08173580884935257,-7.417238259441874,-4.721367025432988,85 days,34 days,0.0028956328581659966,-4.690922269704834,-4.240475273518226,-68.70170401900725,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23   75243.194759     0.256163              NaT
2011-12-27   75302.658810     0.255576              NaT
2011-12-28   74315.547489     0.265334              NaT
2011-12-29   75082.637203     0.257751              NaT
2011-12-30   74873.282525     0.259820         198 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0 -1002       109      129   99.504058  ...       101.323834     102.389956       101.787550       101.882081
1   913       129      148  103.926768  ...       102.389956     100.377116       101.882081       101.834538
2  -910       148      208   96.619364  ...       100.377116      96.763284       101.834538        95.801054
3   846       208      229   99.913707  ...        96.763284      94.118693        95.801054        94.805914
4  -843       229      234   93.708122  ...        94.118693      95.163885        94.805914        94.594033
5   757       234      251   98.516450  ...        95.163885      97.765023        94.594033        94.271477

[6 rows x 18 columns]",SPY,10,100,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,46.613545816733065,100399.38549726347,110033.2417995433,2012.353809084189,0.3993854972634726,12.161278888219716,0.40097986044611567,8.460810665900022,0.2755699507053455,0.047392605304619626,0.06986817221102114,0.03406273944230601,-3.142930000127016,0.29127820601349985,-11.771803061385533,-2.4876321159198116,110 days,22 days,5,60.0,2.9667695843276296,-4.3717644777519595,0.07972636966158131,115 days,34 days,1.125630982659196,0.11008260468872098,0.06504931627062599,0.049361693167398024,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-26   98272.237607     0.106886              NaT
2012-12-27   98140.567426     0.108083              NaT
2012-12-28   97080.345273     0.117718              NaT
2012-12-31   98729.534375     0.102730              NaT
2013-01-02  100399.385497     0.087554         110 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0   929       134      135  107.411594  ...       107.420322     107.408432       107.452244       107.460392
1  -925       135      139  107.831959  ...       107.408432     107.539287       107.460392       107.485769
2   942       139      219  106.642334  ...       107.539287     110.821745       107.485769       111.745713
3  -938       219      232  108.415509  ...       110.821745     112.586134       111.745713       112.442506
4   863       232      250  112.712922  ...       112.586134     114.714171       112.442506       113.457928

[5 rows x 18 columns]",SPY,10,100,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,0.0,100000.0,100000.0,,0.0,11.718268358376209,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"FixedSma(n_fast=10,n_slow=100)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2013-01-03  100000.0          0.0               NaN
2013-01-04  100000.0          0.0               NaN
2013-01-07  100000.0          0.0               NaN
2013-01-08  100000.0          0.0               NaN
2013-01-09  100000.0          0.0               NaN
...              ...          ...               ...
2013-12-26  100000.0          0.0               NaN
2013-12-27  100000.0          0.0               NaN
2013-12-30  100000.0          0.0               NaN
2013-12-31  100000.0          0.0               NaN
2014-01-02  100000.0          0.0               NaN

[252 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",SPY,10,100,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,22.61904761904762,95800.25594605436,101993.15861083896,788.7987688496021,-4.199744053945643,8.957952964043589,-4.199744053945764,5.820626809941355,-2.9266534665027266,-0.7215277995099773,-0.9190477397493042,-0.4103422746480296,-4.685920127507373,0.054273121941273456,-10.234734058410355,-5.192192876267615,78 days,40 days,2,50.0,2.3673675015561644,-6.429026501953712,-2.129604927982043,60 days,41 days,0.368231100126395,-2.030829500198774,-0.487505887227129,-0.9512419266427428,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26   96948.536148     0.049460              NaT
2014-12-29   97078.526261     0.048186              NaT
2014-12-30   96558.480973     0.053285              NaT
2014-12-31   95601.880326     0.062664              NaT
2015-01-02   95800.255946     0.060719          78 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -630       195      210  158.192501  ...       161.062155     163.924338       162.299994       162.663396
1   556       210      251  167.710932  ...       163.924338     172.953166       162.663396       166.291667

[2 rows x 18 columns]",SPY,10,100,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,49.40239043824701,92314.1614506032,101824.07560573271,1527.5942637301553,-7.685838549396793,-2.498277053260243,-7.715246637388995,10.94677912285873,-5.444274686095641,-0.7047960455581178,-0.9379578550877761,-0.6755440247337694,-8.229928873283889,-0.21778622318011512,-11.420790288878003,-9.218656209850378,128 days,88 days,4,0.0,-0.32699689197862103,-3.472708646270515,-1.9846359493415178,68 days,44 days,0.0,-1.974130979605248,-2.3396826713358845,,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24   92747.166912     0.089143              NaT
2015-12-28   92535.223049     0.091225              NaT
2015-12-29   93522.755367     0.081526              NaT
2015-12-30   92859.899059     0.088036              NaT
2015-12-31   92314.161451     0.093396         128 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -573       127      135  174.006688  ...       174.961783     176.464815       175.816595       175.905416
1   537       135      158  179.342734  ...       176.464815     175.932904       175.905416       176.388224
2  -535       158      205  174.082601  ...       175.932904     172.827679       176.388224       171.938578
3   529       205      250  174.724862  ...       172.827679     174.140770       171.938578       171.564932

[4 rows x 18 columns]",SPY,10,100,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,16.26984126984127,99219.5038023669,100794.82903769852,796.5339878931843,-0.7804961976330961,8.542841042480656,-0.7804961976326852,3.6586051376763935,-0.5454780791827818,-0.21333163002345312,-0.262141211737684,-0.16743710802489284,-0.7273672614748843,-0.006219117960175026,-4.661429039473431,-4.661429039473431,56 days,56 days,2,50.0,3.2636396221058144,-3.919958758343257,-0.39289807621393225,43 days,29 days,0.8325698874151342,-0.32815956811872127,-0.11088174269733497,-0.12470978048940196,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23   99851.794797     0.009356              NaT
2016-12-27  100099.477353     0.006899              NaT
2016-12-28   99272.349546     0.015105              NaT
2016-12-29   99250.219113     0.015324              NaT
2016-12-30   99219.503802     0.015629          56 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -547       211      222  182.339079  ...       184.344667     186.732866       184.925784       185.867139
1   508       222      251  188.744529  ...       186.732866     196.115630       185.867139       188.438476

[2 rows x 18 columns]",SPY,10,100,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,0.0,100000.0,100000.0,,0.0,12.842640762611818,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"FixedSma(n_fast=10,n_slow=100)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2017-01-03  100000.0          0.0               NaN
2017-01-04  100000.0          0.0               NaN
2017-01-05  100000.0          0.0               NaN
2017-01-06  100000.0          0.0               NaN
2017-01-09  100000.0          0.0               NaN
...              ...          ...               ...
2017-12-26  100000.0          0.0               NaN
2017-12-27  100000.0          0.0               NaN
2017-12-28  100000.0          0.0               NaN
2017-12-29  100000.0          0.0               NaN
2018-01-02  100000.0          0.0               NaN

[252 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",SPY,10,100,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,19.9203187250996,110310.53768495536,114699.84746770296,377.3548307194013,10.310537684955358,-6.700301002814242,10.353672382325607,10.749224837254085,7.029643273726149,0.9632017693445584,1.6994617155635503,1.7551671656069472,7.929638130916626,-0.3553421783646307,-5.898966540172967,-4.491978417458761,25 days,15 days,1,100.0,10.343361936772414,10.343361936772414,10.34336193677241,75 days,75 days,,10.343361936772414,,,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26  110416.137751     0.037347              NaT
2018-12-27  109732.360895     0.043309              NaT
2018-12-28  109848.144587     0.042299              NaT
2018-12-31  109063.031061     0.049144              NaT
2019-01-02  110310.537685     0.038268           9 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -400       201      250  249.206635  ...       250.846791     223.072615        252.84813        248.10446

[1 rows x 18 columns]",SPY,10,100,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,38.095238095238095,105223.20356488,105238.52949760569,807.5354021746246,5.223203564879994,17.640574653875262,5.223203564880796,6.8871815846125815,3.587648714880931,0.7583949255164893,1.1717924326682243,0.7559114664326264,4.389890989368143,0.04723840304877992,-6.909808617576163,-2.4393802588590563,83 days,24 days,2,50.0,9.634861566071425,-4.006049552379347,2.5879304231507083,119 days,70 days,2.4050779802134277,2.8144060068460397,0.39550028991997466,0.28341111268608526,"FixedSma(n_fast=10,n_slow=100)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26  105238.529498     0.000000              NaT
2019-12-27  105212.470324     0.000248              NaT
2019-12-30  104633.405108     0.005750              NaT
2019-12-31  104887.145403     0.003339              NaT
2020-01-02  105223.203565     0.000146           7 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ...  Entry_SMA(C,10) Exit_SMA(C,10) Entry_SMA(C,100)  Exit_SMA(C,100)
0  -381       156      169  261.526050  ...       263.173801     265.524509       264.267620       265.015313
1   353       169      251  270.937985  ...       265.524509     296.221936       265.015313       277.952969

[2 rows x 18 columns]",SPY,10,100,2014-01-03,2019-01-02,2019-01-03,2020-01-02
