Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-30,360 days,2.4691358024691357,99850.95860157102,100012.22275399439,38.500096717270154,-0.14904139842897712,-5.2797198324462356,-0.1545571822455627,0.1562179631486673,-0.1043523179822925,-0.9893688224476203,-1.0463952257852527,-0.8898627794305898,-0.1473044339060769,0.00032898801035346743,-0.17368653439405746,-0.17368653439405746,8 days,8 days,1,0.0,-1.5396369743246743,-1.5396369743246743,-1.5396369743246763,8 days,8 days,0.0,-1.5396369743246743,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-24   99949.055762     0.000632              NaT
2010-12-27   99996.433936     0.000158              NaT
2010-12-28   99870.099219     0.001421              NaT
2010-12-29   99838.514990     0.001737              NaT
2010-12-30   99850.958602     0.001612           8 days

[243 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0    12       237      242  ...                      2.008738             498963000.0           483740000.0

[1 rows x 22 columns]",2914.T,12,26,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-04,2011-12-30,360 days,91.42857142857143,101565.41993997782,102358.39530604712,40.907380254110564,1.5654199399778153,21.95465505288571,1.6105044919819678,3.223554882072736,1.0932381902742927,0.49960511016533965,0.8032154744340494,0.888234955305162,-0.46145124484975164,0.09232079392480166,-1.8131514441791619,-0.5170025883809697,162 days,28 days,1,100.0,16.61155415771041,16.61155415771041,16.611554157710408,330 days,330 days,,16.61155415771041,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
2011-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-26  101365.098797     0.009704              NaT
2011-12-27  101483.701947     0.008545              NaT
2011-12-28  101483.701947     0.008545              NaT
2011-12-29  101379.927716     0.009559              NaT
2011-12-30  101565.419940     0.007747          63 days

[245 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0    11        21      244  ...                      0.477103             393884000.0           337568000.0

[1 rows x 22 columns]",2914.T,12,26,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-04,2012-12-28,359 days,68.54838709677419,100758.98174595938,102195.59041070822,37.34583794067146,0.7589817459593761,32.453758842119754,0.7712704751634547,2.3856053094086485,0.5321665026515321,0.32330179352033706,0.4694962349332971,0.4091730834668382,-1.3963395048306917,0.06641206836087066,-1.8849491971188348,-0.43221471877271883,134 days,22 days,1,100.0,8.49134747841542,8.49134747841542,8.491347478415424,246 days,246 days,,8.49134747841542,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-10  100000.000000     0.000000              NaT
2012-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-21  100758.981746     0.014057              NaT
2012-12-25  100758.981746     0.014057              NaT
2012-12-26  100758.981746     0.014057              NaT
2012-12-27  100758.981746     0.014057              NaT
2012-12-28  100758.981746     0.014057         134 days

[248 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0     8        24      193  ...                     -2.264196             494099000.0             3878100.0

[1 rows x 22 columns]",2914.T,12,26,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-04,2013-12-30,360 days,29.38775510204082,100412.85604327185,101733.88606316612,36.51862548880428,0.4128560432718514,39.1645418799296,0.42467694254022526,1.8809676010553344,0.28882057710386544,0.2257757881113722,0.34108970293005403,0.2754673380471099,-1.107036257006735,0.03880786618003249,-1.541659877177881,-0.6146498791987565,229 days,57 days,1,100.0,4.636243444737441,4.636243444737441,4.636243444737431,105 days,105 days,,4.636243444737441,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
2013-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-24  100412.856043     0.012985              NaT
2013-12-25  100412.856043     0.012985              NaT
2013-12-26  100412.856043     0.012985              NaT
2013-12-27  100412.856043     0.012985              NaT
2013-12-30  100412.856043     0.012985         229 days

[245 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0     5        47      118  ...                     -3.654577               8341830.0             4865555.0

[1 rows x 22 columns]",2914.T,12,26,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-06,2014-12-30,358 days,0.0,100000.0,100000.0,,0.0,1.5904538346957937,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"MACDStrategy(n_fast=12,n_slow=26)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2014-01-06  100000.0          0.0               NaN
2014-01-07  100000.0          0.0               NaN
2014-01-08  100000.0          0.0               NaN
2014-01-09  100000.0          0.0               NaN
2014-01-10  100000.0          0.0               NaN
...              ...          ...               ...
2014-12-24  100000.0          0.0               NaN
2014-12-25  100000.0          0.0               NaN
2014-12-26  100000.0          0.0               NaN
2014-12-29  100000.0          0.0               NaN
2014-12-30  100000.0          0.0               NaN

[244 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",2914.T,12,26,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-30,359 days,68.0327868852459,101258.92131376083,103591.0449499182,68.0250241519888,1.2589213137608313,41.843489773875476,1.3004646754257276,2.3266088146679924,0.8820506906968895,0.5589528704726859,0.7888396269841678,0.5660699272170738,-1.09005249449889,0.05613713915721908,-2.297356939308015,-0.4093750397092195,149 days,24 days,2,50.0,18.562514840048383,-2.7921224370055353,7.3555328156501565,232 days,122 days,6.648173659589264,7.885196201521424,0.730652937075174,0.4221833976198526,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  101223.979906     0.022850              NaT
2015-12-25  101223.979906     0.022850              NaT
2015-12-28  101214.842943     0.022938              NaT
2015-12-29  101211.188890     0.022974              NaT
2015-12-30  101258.921314     0.022513         149 days

[244 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0     4        22      179  ...                      4.416311               6054445.0             4157760.0
1     3       236      243  ...                     -0.720538               3459745.0             3181405.0

[2 rows x 22 columns]",2914.T,12,26,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,16.3265306122449,98936.86855247573,100095.99966517137,32.52622539837748,-1.0631314475242688,-8.243300461533845,-1.093339979673691,0.8903574159691311,-0.7433271918642625,-1.2279787420915886,-1.44818159725403,-0.8781608989704545,-0.9755130223433968,0.010629046653064585,-1.2450337756503504,-0.7868959212326943,253 days,130 days,1,0.0,-12.295001599557143,-12.295001599557143,-12.295001599557143,61 days,61 days,0.0,-12.295001599557143,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000      0.00000              NaT
2016-01-05  100000.000000      0.00000              NaT
2016-01-06  100000.000000      0.00000              NaT
2016-01-07  100000.000000      0.00000              NaT
2016-01-08  100000.000000      0.00000              NaT
...                   ...          ...              ...
2016-12-26   98936.868552      0.01158              NaT
2016-12-27   98936.868552      0.01158              NaT
2016-12-28   98936.868552      0.01158              NaT
2016-12-29   98936.868552      0.01158              NaT
2016-12-30   98936.868552      0.01158         253 days

[245 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0     3        71      110  ...                    -11.068505               3242100.0             3361270.0

[1 rows x 22 columns]",2914.T,12,26,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-04,2018-01-02,363 days,9.411764705882353,99670.17593465366,100078.95194882763,37.846555851458845,-0.32982406534634356,-2.2469117493864,-0.32595011304091814,0.4872166904371639,-0.22908440227513704,-0.6690044069476634,-0.83708831160872,-0.5445308106845944,-0.2977865363302237,0.014258472334246717,-0.5985889258151023,-0.3911194614341251,287 days,148 days,1,0.0,-3.432939691675795,-3.432939691675795,-3.432939691675796,32 days,32 days,0.0,-3.432939691675795,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-10  100000.000000     0.000000              NaT
2017-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-27   99670.175935     0.004085              NaT
2017-12-28   99670.175935     0.004085              NaT
2017-12-29   99670.175935     0.004085              NaT
2018-01-01   99670.175935     0.004085              NaT
2018-01-02   99670.175935     0.004085         287 days

[255 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0     4        47       70  ...                      0.085372               3726415.0             4117280.0

[1 rows x 22 columns]",2914.T,12,26,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2018-12-31,362 days,21.62162162162162,99353.24033930029,100159.779843229,32.019941409307414,-0.6467596606997104,-23.99131654598183,-0.6293347910586444,0.600365977867528,-0.4506741474389009,-1.0482519234251286,-1.3853976447549965,-0.759538687928522,-0.37033945625810877,0.011521677183151403,-0.8285750298974492,-0.4156227708611626,153 days,79 days,1,0.0,-7.780702871891237,-7.780702871891237,-7.780702871891232,77 days,77 days,0.0,-7.780702871891237,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-25   99353.240339     0.008053              NaT
2018-12-26   99353.240339     0.008053              NaT
2018-12-27   99353.240339     0.008053              NaT
2018-12-28   99353.240339     0.008053              NaT
2018-12-31   99353.240339     0.008053         153 days

[259 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0     4       147      202  ...                     -3.816464               5185410.0             5280940.0

[1 rows x 22 columns]",2914.T,12,26,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-04,2019-12-30,360 days,50.20746887966805,97834.51748890335,100321.41660803954,68.95849717005308,-2.1654825110966485,0.04818402058246917,-2.263195148769259,0.8350709216137663,-1.5208083252155724,-2.710183159528124,-3.1802843190212946,-0.9129720688623623,-2.167451376488028,0.04086137619026413,-2.478931421844466,-2.478931421844466,312 days,312 days,2,0.0,-11.155536649362489,-12.460361358801523,-11.810362190413715,132 days,89 days,0.0,-11.807949004082005,-9.45792287578192,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
2019-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-24   97834.517489     0.024789              NaT
2019-12-25   97834.517489     0.024789              NaT
2019-12-26   97834.517489     0.024789              NaT
2019-12-27   97834.517489     0.024789              NaT
2019-12-30   97834.517489     0.024789         312 days

[241 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0     5        30      117  ...                     -0.488012               4406535.0             5694030.0
1     5       131      163  ...                      0.787179               5219680.0             4539245.0

[2 rows x 22 columns]",2914.T,12,26,2014-01-03,2019-01-02,2019-01-03,2020-01-02
