Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,34.92063492063492,99190.21542587607,100143.21974242953,77.70585555904673,-0.809784574123929,3.82657599604293,-0.8097845741237508,1.4883304414366378,-0.5659724918553599,-0.544089236891568,-0.7575746696658319,-0.49283367787987153,-0.9527458718690174,0.03736010937530706,-1.6431193939654753,-1.6431193939654753,260 days,260 days,2,50.0,6.900035945487754,-14.921429991974449,-4.632803375329175,71 days,63 days,0.46242457654520813,-4.010697023243348,-0.3739693930092929,-0.5973659895111871,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27   99116.052095     0.010257              NaT
2010-12-28   99136.106674     0.010057              NaT
2010-12-29   99166.181024     0.009756              NaT
2010-12-30   99206.282305     0.009356              NaT
2010-12-31   99190.215426     0.009516         260 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   641        70      107  ...                     -0.044659              61736600.0            78647385.0
1   751       202      251  ...                     -0.050552              68627505.0            40989295.0

[2 rows x 22 columns]",INTC,12,26,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,0.0,100000.0,100000.0,,0.0,20.427166579602115,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"MACDStrategy(n_fast=12,n_slow=26)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2011-01-03  100000.0          0.0               NaN
2011-01-04  100000.0          0.0               NaN
2011-01-05  100000.0          0.0               NaN
2011-01-06  100000.0          0.0               NaN
2011-01-07  100000.0          0.0               NaN
...              ...          ...               ...
2011-12-23  100000.0          0.0               NaN
2011-12-27  100000.0          0.0               NaN
2011-12-28  100000.0          0.0               NaN
2011-12-29  100000.0          0.0               NaN
2011-12-30  100000.0          0.0               NaN

[252 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",INTC,12,26,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,31.872509960159363,99504.20833055858,100588.64882581556,38.933597319121134,-0.4957916694414161,-9.84983167679245,-0.49776201083392424,1.1581834918869915,-0.3425632730970407,-0.4297781951829899,-0.5710473230020449,-0.3491692460151703,-0.20464619150186614,0.02955842165562367,-1.4255608605698855,-0.3898826205533964,245 days,49 days,1,0.0,-4.976914389947253,-4.976914389947253,-4.976914389947251,116 days,116 days,0.0,-4.976914389947253,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-26   99504.208331     0.010781              NaT
2012-12-27   99504.208331     0.010781              NaT
2012-12-28   99504.208331     0.010781              NaT
2012-12-31   99504.208331     0.010781              NaT
2013-01-02   99504.208331     0.010781         245 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   520        50      129  ...                     -0.023069              38709215.0            35250925.0

[1 rows x 22 columns]",INTC,12,26,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,31.349206349206348,100632.75623297477,101740.54652730725,41.2103282761272,0.6327562329747743,25.792439615434827,0.632756232977516,1.4060921811472336,0.43763673864709585,0.4500104911053903,0.638728615546503,0.5811295268702852,-0.4821137348475587,0.0432246807376518,-1.08883855271521,-0.397345429474922,198 days,39 days,1,100.0,6.349405052417819,6.349405052417819,6.349405052417811,113 days,113 days,,6.349405052417819,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26  100632.756233     0.010888              NaT
2013-12-27  100632.756233     0.010888              NaT
2013-12-30  100632.756233     0.010888              NaT
2013-12-31  100632.756233     0.010888              NaT
2014-01-02  100632.756233     0.010888         198 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   631        58      136  ...                      -0.03306              37789645.0            42126020.0

[1 rows x 22 columns]",INTC,12,26,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,60.71428571428571,103855.50369281786,104261.49159721052,47.67446575166425,3.8555036928178597,45.511074472452066,3.855503692816975,2.4906787181102623,2.653622726246918,1.5479731146304723,2.7878106155179045,2.3655078534886527,-0.5914874362297793,0.09771228608850821,-1.6298841228241434,-0.24972130377670393,73 days,12 days,1,100.0,38.68258362388307,38.68258362388307,38.68258362388306,219 days,219 days,,38.68258362388307,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26  104216.105973     0.000435              NaT
2014-12-29  104076.153958     0.001778              NaT
2014-12-30  104038.329601     0.002140              NaT
2014-12-31  103739.513667     0.005006              NaT
2015-01-02  103855.503693     0.003894          28 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   493        99      251  ...                     -0.112991              22676205.0            26686570.0

[1 rows x 22 columns]",INTC,12,26,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,25.49800796812749,101557.31633150241,101786.23046537323,43.03078809331063,1.5573163315024139,-1.2891558716640465,1.5635690341017305,1.1680665734885434,1.0875919685684021,1.3385958211542524,2.339959892445185,1.8711374248656645,1.5835077090341025,0.02031668792531724,-0.8356249056447496,-0.2558001955308247,28 days,9 days,1,100.0,15.639594897327678,15.639594897327678,15.639594897327669,91 days,91 days,,15.639594897327678,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  101633.540188     0.001044              NaT
2015-12-28  101616.947285     0.001207              NaT
2015-12-29  101786.230465     0.000000          13 days
2015-12-30  101636.860692     0.001467              NaT
2015-12-31  101557.316332     0.002249           2 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   420       187      250  ...                     -0.044358              31597705.0            19270815.0

[1 rows x 22 columns]",INTC,12,26,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,46.03174603174603,100568.14253358805,101872.62615012545,41.06549073627163,0.5681425335880486,10.228266694159183,0.5681425335906098,1.5642519848307976,0.39625877712201607,0.3632039716747202,0.47870480759782125,0.43919330553436214,0.12399797765113763,0.04342324747853301,-1.2936047212726898,-0.4008214522341333,84 days,22 days,1,100.0,5.703229539854051,5.703229539854051,5.703229539854049,164 days,164 days,,5.703229539854051,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23  100568.142534     0.012805              NaT
2016-12-27  100568.142534     0.012805              NaT
2016-12-28  100568.142534     0.012805              NaT
2016-12-29  100568.142534     0.012805              NaT
2016-12-30  100568.142534     0.012805          84 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   384       117      232  ...                     -0.033734              19080835.0            19868735.0

[1 rows x 22 columns]",INTC,12,26,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,19.047619047619047,101330.72673711556,101641.65633427519,42.57469001044138,1.3307267371155613,31.62875442633606,1.3307267371160059,1.23637629182896,0.9193971186830519,1.0763120790252894,2.3016649614252396,1.476775229425336,-0.17562207061824697,0.04762592884402457,-0.9011030999171332,-0.33434935766197826,47 days,17 days,1,100.0,13.364706488634601,13.364706488634601,13.364706488634592,70 days,70 days,,13.364706488634601,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-03  100000.000000     0.000000              NaT
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-26  101280.099846     0.003557              NaT
2017-12-27  101287.431904     0.003485              NaT
2017-12-28  101314.301316     0.003221              NaT
2017-12-29  101299.642750     0.003365              NaT
2018-01-02  101330.726737     0.003059          13 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   291       204      251  ...                      0.083438              22814640.0            27823570.0

[1 rows x 22 columns]",INTC,12,26,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,24.701195219123505,97779.04912740696,100000.0,74.67427336356593,-2.2209508725930354,6.638868340670453,-2.2296998959633885,1.5850500571227943,-1.5428865770670597,-1.4067062967151787,-1.6083611988109034,-0.8314550212579535,-2.3838981103163506,0.024544429767507522,-2.6816843232120413,-2.6816843232120413,215 days,215 days,2,0.0,-5.6070974475595525,-16.82034672000146,-11.390920857935294,56 days,45 days,0.0,-11.213722083780505,-1.9808951022541426,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26   97844.157580     0.021558              NaT
2018-12-27   97878.536586     0.021215              NaT
2018-12-28   97957.414664     0.020426              NaT
2018-12-31   97993.818759     0.020062              NaT
2019-01-02   97779.049127     0.022210         215 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   205       104      143  ...                     -0.253521              21623130.0            22136095.0
1   235       229      250  ...                      0.021040              25473650.0            29202635.0

[2 rows x 22 columns]",INTC,12,26,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,90.87301587301587,102227.29804774218,102227.29804774218,44.34295305697337,2.2272980477421807,40.16141683528037,2.22729804774231,2.5462151659276397,1.5367424678669916,0.874748559174047,1.2585551214588264,0.753730958617353,-1.2039077225280432,0.08543537655414667,-2.955030601141917,-0.3740714707401568,199 days,22 days,1,100.0,22.385090013867103,22.385090013867103,22.385090013867103,330 days,330 days,,22.385090013867103,,,"MACDStrategy(n_fast=12,n_slow=26)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26  102166.532346     0.000000              NaT
2019-12-27  102219.281331     0.000000              NaT
2019-12-30  102125.954381     0.000913              NaT
2019-12-31  102172.616101     0.000457              NaT
2020-01-02  102227.298048     0.000000           6 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit__macd_ind…(C,12,26,9)_2  Entry__sma_indi…(V,20) Exit__sma_indi…(V,20)
0   230        23      251  ...                      0.193305              30001840.0            19639655.0

[1 rows x 22 columns]",INTC,12,26,2014-01-03,2019-01-02,2019-01-03,2020-01-02
