Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,39.285714285714285,98855.82346801284,100288.31461183641,512.6725486049321,-1.1441765319871628,7.4277573432872295,-1.1441765319869512,1.2715764934804,-0.8000914929475633,-0.8998094395841296,-1.0782159668892752,-0.5397162207380737,-1.279317187970965,0.018194005234424406,-2.1199595046861197,-0.6006184847529822,255 days,73 days,13,23.076923076923077,11.091170822423122,-7.576120975240041,-0.9569824098392687,48 days,10 days,0.5097036806747273,-0.8796802540413385,-0.7747602396232504,-0.22661340497847204,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27   98920.996320     0.013634              NaT
2010-12-28   98919.105399     0.013653              NaT
2010-12-29   98944.876029     0.013396              NaT
2010-12-30   98893.343558     0.013910              NaT
2010-12-31   98855.823468     0.014284         255 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    378        46  ...                     -203944720.0                    -204723360.0
1    376        50  ...                     -211295690.0                    -214481100.0
2    350        57  ...                     -205888840.0                    -130924145.0
3    369       142  ...                     -518158935.0                    -506243495.0
4    375       146  ...                     -503647205.0                    -502348480.0
5    372       150  ...                     -497428960.0                    -498056585.0
6    372       158  ...                     -498293965.0                    -498006360.0
7    367       160  ...                     -499025750.0                    -500202230.0
8    360       168  ...                     -495823130.0                    -292185985.0
9    297       212  ...                     -286154645.0                    -252169670.0
10   292       241  ...                     -254966980.0                    -254959880.0
11   288       245  ...                     -253779340.0                    -252925425.0
12   288       248  ...                     -251242040.0                    -245122510.0

[13 rows x 18 columns]",QCOM,20,50,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,42.46031746031746,97115.47887834611,100986.13002780614,546.5872360985989,-2.884521121653888,10.704393183221224,-2.884521121654704,1.5668532869154261,-2.022451752346721,-1.8409644002683203,-2.2427450528629147,-0.7525778320270804,-3.1612479360051835,0.02585170496026392,-3.832854223044546,-0.8887235745934484,305 days,65 days,14,21.428571428571427,4.389000850026337,-6.866203956479035,-2.144030767208882,35 days,10 days,0.17780177680267853,-2.0927516667846344,-2.3684331942330337,-0.9852717773438576,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23   97115.478878     0.038329              NaT
2011-12-27   97115.478878     0.038329              NaT
2011-12-28   97115.478878     0.038329              NaT
2011-12-29   97115.478878     0.038329              NaT
2011-12-30   97115.478878     0.038329         305 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    267        20  ...                       81696935.0                     228767870.0
1    257        77  ...                       34591845.0                      73669840.0
2    256        97  ...                       74980285.0                      72364885.0
3    247       103  ...                       77773555.0                      83201165.0
4    246       131  ...                       50202280.0                      49888130.0
5    255       136  ...                       56232285.0                      74229990.0
6    267       179  ...                      -27861360.0                     -18689130.0
7    273       185  ...                      -14375850.0                     -17200525.0
8    274       193  ...                      -12587745.0                     -10673950.0
9    269       195  ...                      -10193265.0                      -9930475.0
10   269       197  ...                       -9846000.0                      -1964870.0
11   262       208  ...                        -464655.0                       1363920.0
12   253       213  ...                        4987685.0                      34360960.0
13   260       226  ...                       35459930.0                      35285570.0

[14 rows x 18 columns]",QCOM,20,50,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,38.24701195219124,100445.76645979212,101274.27480453475,321.70619373347154,0.4457664597921248,19.01700755037517,0.447546390007747,1.036906960026877,0.3075500985276758,0.4316167286562976,0.6462557233891218,0.5470667420193817,0.08264271839022169,0.019094683558388732,-0.8180837101442573,-0.21918947121666008,134 days,29 days,8,50.0,5.65797063972499,-4.061017195265189,0.5250876568557938,47 days,16 days,1.6304596178993203,0.564435139988636,0.5230309842113601,0.1912933502996555,"OBVStrategy(n_fast=20,n_slow=50)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2012-01-03  100000.00000     0.000000              NaT
2012-01-04  100000.00000     0.000000              NaT
2012-01-05  100000.00000     0.000000              NaT
2012-01-06  100000.00000     0.000000              NaT
2012-01-09  100000.00000     0.000000              NaT
...                  ...          ...              ...
2012-12-26  100445.76646     0.008181              NaT
2012-12-27  100445.76646     0.008181              NaT
2012-12-28  100445.76646     0.008181              NaT
2012-12-31  100445.76646     0.008181              NaT
2013-01-02  100445.76646     0.008181          22 days

[251 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   234        24  ...                       93474280.0                     202432285.0
1   218        50  ...                      202406915.0                     239456580.0
2   247       140  ...                       22801095.0                      22914775.0
3   244       142  ...                       22975425.0                      94187700.0
4   227       176  ...                       96317095.0                     101286770.0
5   227       225  ...                      -24970485.0                      17246685.0
6   223       242  ...                       19165060.0                      20050380.0
7   229       244  ...                       19691020.0                      20176405.0

[8 rows x 18 columns]",QCOM,20,50,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,45.63492063492063,99859.53885168825,100096.96701950829,475.1472614562457,-0.1404611483117478,15.972296199604733,-0.14046114831151035,1.074179468452109,-0.09726335981491419,-0.1307613415046134,-0.1795823269284476,-0.10824185494319054,-0.7299197520013341,0.03690506338745293,-1.2976602108789592,-0.5189079347096486,325 days,112 days,12,25.0,9.239967051291567,-2.671178829128108,-0.16412775800472845,32 days,13 days,0.9107119272529818,-0.11294868574570727,-0.12074474442159054,-0.02579290189162331,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26   99861.896528     0.002348              NaT
2013-12-27   99905.676462     0.001911              NaT
2013-12-30   99874.209387     0.002225              NaT
2013-12-31   99967.238592     0.001296              NaT
2014-01-02   99859.538852     0.002372         325 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    211        20  ...                        4330755.0                      29030305.0
1    212        40  ...                       36208280.0                      38229005.0
2    208        59  ...                       38375560.0                      38068200.0
3    209        61  ...                       36417785.0                      35219070.0
4    213        90  ...                        7316030.0                      36019695.0
5    216       101  ...                       39982325.0                      45293090.0
6    217       104  ...                       48210865.0                      50757910.0
7    213       142  ...                      -68664930.0                     -11478125.0
8    198       172  ...                       -7308045.0                       8299810.0
9    198       208  ...                      -12640145.0                        877480.0
10   203       216  ...                        2664965.0                      58223410.0
11   189       244  ...                       60993480.0                      66859230.0

[12 rows x 18 columns]",QCOM,20,50,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,51.98412698412699,99363.14838390207,100452.34994452013,396.80921247389654,-0.6368516160979343,4.094560111999438,-0.6368516160991544,1.0579055352431235,-0.44133045496710377,-0.6019928952851124,-0.7865799197251959,-0.5226963347209895,-0.750682760096334,0.027800579521303975,-1.218396942536626,-0.3887312006333502,260 days,54 days,10,40.0,1.848578401731906,-3.2766187879668744,-0.6518140623679058,38 days,18 days,0.3674568213383195,-0.640226229247962,-1.2690735908705553,-0.6909550636106995,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26   99532.576342     0.009156              NaT
2014-12-29   99447.798434     0.010000              NaT
2014-12-30   99451.832171     0.009960              NaT
2014-12-31   99358.977068     0.010884              NaT
2015-01-02   99363.148384     0.010843         260 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   182        27  ...                       38879000.0                      39196690.0
1   182        38  ...                       42568315.0                      60353265.0
2   177        50  ...                       62018165.0                     120459260.0
3   174        80  ...                      123364180.0                     163470535.0
4   169       102  ...                      164833455.0                     166126835.0
5   169       125  ...                      156557365.0                     161639375.0
6   176       163  ...                      107942880.0                     115765770.0
7   180       169  ...                      118041160.0                     135626780.0
8   185       228  ...                       69188580.0                     109381835.0
9   182       242  ...                      112889595.0                     136302525.0

[10 rows x 18 columns]",QCOM,20,50,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,16.334661354581673,97704.46183087316,100303.72703347781,233.4988900303778,-2.295538169126841,-30.257453719621495,-2.3045775387601775,1.6717421877974412,-1.6124654646015646,-1.3785484122982572,-1.3938524838350528,-0.889319474379326,-1.3510163127656831,0.031216171232169812,-2.5913944371549813,-0.9759408631888733,297 days,103 days,6,0.0,-0.6438403267201335,-13.27903979810834,-3.9832517382217825,20 days,9 days,0.0,-3.874713084619388,-1.9390423457379897,,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24   97704.461831     0.025914              NaT
2015-12-28   97704.461831     0.025914              NaT
2015-12-29   97704.461831     0.025914              NaT
2015-12-30   97704.461831     0.025914              NaT
2015-12-31   97704.461831     0.025914         297 days

[251 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   190        32  ...                      -57190120.0                     -12918280.0
1   190        93  ...                     -105694720.0                    -104842730.0
2   192        96  ...                     -103490940.0                    -102981735.0
3   188        99  ...                     -102708900.0                    -103085225.0
4   221       201  ...                     -343626695.0                    -315303255.0
5   253       234  ...                     -364454175.0                    -364499210.0

[6 rows x 18 columns]",QCOM,20,50,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,63.888888888888886,99379.99361501435,100891.28298957717,834.5942695877516,-0.6200063849856524,34.74028287558979,-0.6200063849850723,1.9372096569750776,-0.43320844684826554,-0.3200512565858269,-0.48004996388928317,-0.2790177843429893,-2.182684596930713,0.04498173539752821,-2.2221034635660164,-0.7560792786920383,234 days,55 days,21,19.047619047619047,17.897303449453545,-4.473487095018578,-0.38760974855659436,41 days,10 days,0.8238741161812919,-0.2859066212818245,-0.2859058290769638,-0.042683457392472535,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23   99379.993615     0.014979              NaT
2016-12-27   99379.993615     0.014979              NaT
2016-12-28   99379.993615     0.014979              NaT
2016-12-29   99379.993615     0.014979              NaT
2016-12-30   99379.993615     0.014979          64 days

[252 rows x 3 columns]","    Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0    293        22  ...                      -34176405.0                     -33584260.0
1    269        31  ...                      -30998310.0                      42595585.0
2    252        53  ...                       45990370.0                      48238340.0
3    255        60  ...                       50516980.0                      49409070.0
4    249        70  ...                       51293965.0                      51699995.0
5    250        73  ...                       51245545.0                      54610845.0
6    231       101  ...                       48828500.0                      50707845.0
7    232       105  ...                       51954040.0                      54570445.0
8    234       109  ...                       55606520.0                      56793420.0
9    236       118  ...                       57159470.0                      55950110.0
10   239       125  ...                       57984260.0                      58639695.0
11   240       128  ...                       59268360.0                     140470040.0
12   205       159  ...                      140968615.0                     141472290.0
13   204       161  ...                      141710865.0                     152606360.0
14   205       175  ...                      153172340.0                     154419970.0
15   205       177  ...                      155770540.0                     163096330.0
16   200       187  ...                      165523075.0                     245607450.0
17   187       215  ...                      245940170.0                     245912445.0
18   183       237  ...                      226003725.0                     231514185.0
19   186       244  ...                      231801550.0                     231859305.0
20   185       246  ...                      231863065.0                     231811225.0

[21 rows x 18 columns]",QCOM,20,50,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,44.047619047619044,101818.04348215241,102517.20026501062,363.5818090187582,1.8180434821524105,3.609468547951194,1.8180434821506664,1.9871168097729925,1.2551526783216804,0.9149152547093389,1.6783381524250323,1.5848168325478933,1.6459230093543147,0.04768582147524041,-1.1471631577939623,-0.32991874311463343,165 days,33 days,9,44.44444444444444,22.973662714279172,-5.349352767449141,1.7627724667550249,44 days,17 days,2.825932159730428,2.0372849584597024,0.7320587526971002,0.2862111722283228,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-03  100000.000000     0.000000              NaT
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-26  101825.647540     0.006746              NaT
2017-12-27  101863.084521     0.006381              NaT
2017-12-28  101838.125567     0.006624              NaT
2017-12-29  101781.975169     0.007172              NaT
2018-01-02  101818.043482     0.006820          35 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   221        36  ...                      -65925230.0                      11015070.0
1   218        55  ...                       12552880.0                      13839520.0
2   220        57  ...                       14533465.0                      16044495.0
3   228        84  ...                      -17845105.0                      50256705.0
4   220       136  ...                       13925215.0                      11970915.0
5   242       171  ...                      -56343170.0                     -56795560.0
6   234       178  ...                      -55385825.0                       5455420.0
7   228       211  ...                        7247635.0                     204482380.0
8   190       243  ...                      202244895.0                     199328455.0

[9 rows x 18 columns]",QCOM,20,50,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,36.65338645418327,102816.17712879047,103473.91894074921,126.38564266435924,2.8161771287904704,-9.507085155404093,2.827554110015029,1.5343067677024833,1.941316065316867,1.8428870741729784,3.9376435780488452,3.312965304198146,3.0346809360979554,0.022983259720071134,-0.8534813529233132,-0.2649456141536074,110 days,23 days,3,66.66666666666666,26.32568417013748,-3.9853305073184893,8.021224854956554,76 days,43 days,7.589187859886271,8.753363798819128,0.9570862125825907,0.5766276484422944,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26  102618.474631     0.008267              NaT
2018-12-27  102618.474631     0.008267              NaT
2018-12-28  102618.474631     0.008267              NaT
2018-12-31  102618.474631     0.008267              NaT
2019-01-02  102816.177129     0.006357         110 days

[251 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   211        94  ...                     -188799040.0                     -92074285.0
1   207       131  ...                      -94394855.0                     172541855.0
2   206       232  ...                       21539590.0                      65436735.0

[3 rows x 18 columns]",QCOM,20,50,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,49.60317460317461,101111.26554571491,102317.47354353873,322.9785236675805,1.1112655457149085,65.11287238932645,1.1112655457174991,2.126800796884139,0.7680287262385344,0.5225057030943163,0.8305169326664641,0.5981553974866842,-0.7425490402933825,0.028470784930571966,-1.8578208110915484,-0.4605084956073535,189 days,30 days,8,62.5,9.39776098425572,-4.29842331666231,1.3078669083250505,43 days,21 days,2.6086540751682255,1.398921001039081,0.8492744044864509,0.38421878425528616,"OBVStrategy(n_fast=20,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26  101057.810148     0.012311              NaT
2019-12-27  101103.119718     0.011868              NaT
2019-12-30  101061.208586     0.012278              NaT
2019-12-31  101038.553312     0.012500              NaT
2020-01-02  101111.265546     0.011789          55 days

[252 rows x 3 columns]","   Size  EntryBar  ...  Entry__sma_indi…(_obv_indi…,20)  Exit__sma_indi…(_obv_indi…,20)
0   220        37  ...                      -72356725.0                      84501560.0
1   147        72  ...                      104947445.0                     523627200.0
2   157       119  ...                      409311180.0                     451865785.0
3   153       132  ...                      454232420.0                     480492700.0
4   150       167  ...                      433120010.0                     465034510.0
5   146       182  ...                      466009065.0                     466897045.0
6   147       203  ...                      456909580.0                     495334875.0
7   128       246  ...                      482337395.0                     489402110.0

[8 rows x 18 columns]",QCOM,20,50,2014-01-03,2019-01-02,2019-01-03,2020-01-02
