Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-30,360 days,42.79835390946502,98136.49505974744,100000.0,378.52981557880366,-1.8635049402525619,-5.2797198324462356,-1.9318527143419528,1.538655311395367,-1.308129505229294,-1.255546125265707,-1.7166058974345446,-0.6725228913114608,-1.698443793720193,0.03126323967381649,-2.8725456624602352,-2.8725456624602352,352 days,352 days,10,20.0,9.6715622334946,-6.367122803023214,-2.0225203392208346,35 days,14 days,0.3592280168157074,-1.9282398755845191,-1.3517566549888238,-0.369361691602571,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-24   98234.592220     0.017654              NaT
2010-12-27   98281.970394     0.017180              NaT
2010-12-28   98155.635677     0.018444              NaT
2010-12-29   98124.051448     0.018759              NaT
2010-12-30   98136.495060     0.018635         352 days

[243 rows x 3 columns]","   Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    11         6        7  ...  None               72.775467             67.993407
1    11         9       10  ...  None               70.550178             56.512979
2    11        17       25  ...  None               61.619292             37.708943
3    11        44       66  ...  None               56.759959             47.541997
4    12       110      116  ...  None               56.629155             38.888906
5    13       139      144  ...  None               54.899855             50.204229
6    13       146      150  ...  None               51.859492             42.812056
7    13       171      185  ...  None               61.375398             38.515272
8    13       208      217  ...  None               63.510569             72.386708
9    12       218      242  ...  None               63.028699             59.395038

[10 rows x 16 columns]",2914.T,14,50,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-04,2011-12-30,360 days,58.36734693877551,100316.35892094574,101077.59842024474,381.8213765203573,0.3163589209457423,21.95465505288571,0.32541243828483335,2.275212583246515,0.22134630134804656,0.14302506969282858,0.22080599864474,0.17726657729251993,-0.8074542570177345,0.05118792234523235,-1.8357235935562044,-0.6266294006964084,249 days,60 days,10,50.0,7.809322981783586,-12.158039450084694,0.09425742844448859,101 days,20 days,1.1227558198625969,0.2793703909379718,0.16768416171116177,0.06474802451935396,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
2011-01-11   99964.721402     0.000353              NaT
...                   ...          ...              ...
2011-12-26  100316.358921     0.007531              NaT
2011-12-27  100316.358921     0.007531              NaT
2011-12-28  100316.358921     0.007531              NaT
2011-12-29  100316.358921     0.007531              NaT
2011-12-30  100316.358921     0.007531          63 days

[245 rows x 3 columns]","   Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    12         4        5  ...  None               72.429682             84.690431
1    11         6        7  ...  None               89.648093             57.756468
2    12         9       13  ...  None               66.855736             44.607549
3    12        15       23  ...  None               57.969894             65.637546
4    11        26       31  ...  None               61.100111             65.065071
5    10        33       48  ...  None               64.294206             30.420243
6    11        81       93  ...  None               63.937074             47.705345
7    11       120      135  ...  None               53.911384             48.254043
8    11       138      141  ...  None               65.368172             74.174506
9    10       142      211  ...  None               66.316040             47.754380

[10 rows x 16 columns]",2914.T,14,50,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-04,2012-12-28,359 days,69.75806451612904,99157.61092443806,100975.96974561039,447.8444664563249,-0.8423890755619359,32.453758842119754,-0.8559176844205041,2.057283138375092,-0.5920599326124765,-0.41604272569721995,-0.5799204657504323,-0.40309056648270986,-2.5227639449512997,0.05177751142984732,-2.1233880313525466,-0.6058704327344089,134 days,35 days,12,50.0,10.2472710000496,-6.956823002164814,-0.8804829492522925,72 days,20 days,0.7188305861764693,-0.7448234799640355,-0.4699383939505057,-0.1957111441872763,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-10  100000.000000     0.000000              NaT
2012-01-11  100138.813137     0.000000              NaT
...                   ...          ...              ...
2012-12-21   98963.500301     0.019930              NaT
2012-12-25   99021.576717     0.019355              NaT
2012-12-26   99110.623348     0.018473              NaT
2012-12-27   99114.495907     0.018435              NaT
2012-12-28   99157.610924     0.018008         134 days

[248 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0      9         4        5  ...  None               78.855558             82.313697
1      9         6        7  ...  None               77.359115             67.512404
2      9         9       19  ...  None               62.593240             38.695713
3      8        24       25  ...  None               70.167503             76.122334
4      8        26       33  ...  None               60.387686             70.848986
5      8        37       64  ...  None               65.795460             66.819830
6      7        68       81  ...  None               49.937719             38.884853
7      8        98      104  ...  None               59.405665             42.778331
8      8       110      161  ...  None               58.869347             37.747988
9      7       186      193  ...  None               50.823888             46.376736
10     7       196      207  ...  None               55.720848             39.301965
11     7       221      247  ...  None               57.238909             57.878523

[12 rows x 16 columns]",2914.T,14,50,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-04,2013-12-30,360 days,62.44897959183674,100691.17874464497,103326.48437775859,594.3634659061037,0.6911787446449743,39.1645418799296,0.7109967489790536,2.0648526587220197,0.4833250032372005,0.3443329217587391,0.5354749103248865,0.27877143946003186,-1.1915865187506012,0.04807321043528978,-2.550464819338105,-0.534737242648935,229 days,33 days,16,56.25,11.91640957935775,-7.645731078214775,0.4116712168234615,63 days,13 days,1.3158613903629468,0.524694960709768,0.3866350850968197,0.12301736637802779,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
2013-01-10  100052.401053     0.000000              NaT
...                   ...          ...              ...
2013-12-24  100691.178745     0.025505              NaT
2013-12-25  100691.178745     0.025505              NaT
2013-12-26  100691.178745     0.025505              NaT
2013-12-27  100691.178745     0.025505              NaT
2013-12-30  100691.178745     0.025505         229 days

[245 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0      6         4        5  ...  None               78.518382             81.399030
1      6         6        7  ...  None               83.097078             78.742836
2      6         9       10  ...  None               85.825812             66.986156
3      6        13       15  ...  None               61.910696             69.215503
4      6        17       18  ...  None               78.325131             70.777494
5      6        20       21  ...  None               77.718515             76.897818
6      5        23       66  ...  None               69.769507             77.099090
7      5        67       68  ...  None               74.137950             75.165152
8      5        69       70  ...  None               75.514263             71.202580
9      5        73       77  ...  None               65.115317             74.602311
10     5        78       79  ...  None               77.740944             77.740944
11     5        82      101  ...  None               65.191233             46.504714
12     4       121      140  ...  None               62.507810             40.739291
13     5       172      189  ...  None               55.395374             45.376091
14     5       193      199  ...  None               48.057715             43.322115
15     4       204      223  ...  None               58.480374             42.319644

[16 rows x 16 columns]",2914.T,14,50,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-06,2014-12-30,358 days,55.73770491803278,99335.4161979082,100188.37501597455,423.6399777906189,-0.6645838020918018,1.5904538346957937,-0.6862984950702478,1.2909849748171462,-0.46826918614050195,-0.5316084295771563,-0.746368379760845,-0.5866229077022356,-0.7101221323364239,0.028632286741810523,-1.1699142431352283,-0.5203024887888412,309 days,107 days,12,25.0,10.152962080798781,-6.418222488069985,-0.7298758498273439,51 days,16 days,0.6997665528201336,-0.6227653246492183,-0.44415975590806606,-0.10754848148052792,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
2014-01-10  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-24   99335.416198     0.008514              NaT
2014-12-25   99335.416198     0.008514              NaT
2014-12-26   99335.416198     0.008514              NaT
2014-12-29   99335.416198     0.008514              NaT
2014-12-30   99335.416198     0.008514         309 days

[244 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0      5        25       39  ...  None               59.223516             38.814267
1      5        57       91  ...  None               61.726809             41.582005
2      5        95      107  ...  None               58.081998             78.524899
3      4       108      109  ...  None               78.145380             68.521056
4      4       113      116  ...  None               69.224820             70.878465
5      4       118      131  ...  None               63.663940             64.114716
6      4       133      143  ...  None               54.919900             46.899735
7      4       167      178  ...  None               57.482876             38.512736
8      4       187      191  ...  None               55.166125             34.466483
9      4       201      206  ...  None               56.211658             75.464242
10     4       207      208  ...  None               70.006099             70.217017
11     4       209      225  ...  None               66.335650             41.234691

[12 rows x 16 columns]",2914.T,14,50,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-30,359 days,64.34426229508196,101272.03329921034,102281.23150823495,733.3493853539599,1.2720332992103358,41.843489773875476,1.3140121466086452,1.596270721654371,0.8912202143625869,0.8231762499827137,1.234572000980617,1.0663903373026355,-0.03956923877760676,0.031345438563463876,-1.232205601123837,-0.2552627807962208,223 days,27 days,21,57.14285714285714,10.3135891716313,-6.3921581563637915,0.5432603921140311,51 days,10 days,1.614753320275923,0.617346396890974,0.7989832194745299,0.2421897705166038,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  101237.091891     0.010209              NaT
2015-12-25  101237.091891     0.010209              NaT
2015-12-28  101227.954928     0.010298              NaT
2015-12-29  101224.300876     0.010334              NaT
2015-12-30  101272.033299     0.009867         223 days

[244 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0      5        11       21  ...  None               62.521371             61.135984
1      4        22       26  ...  None               64.051873             75.347501
2      4        27       28  ...  None               78.211998             80.788904
3      4        29       30  ...  None               72.652925             73.076440
4      4        31       32  ...  None               75.108389             74.651616
5      4        36       37  ...  None               71.134747             73.686787
6      4        38       39  ...  None               73.470419             75.722176
7      4        40       41  ...  None               75.020986             75.876465
8      4        42       43  ...  None               78.458698             76.923890
9      4        51       67  ...  None               49.252555             70.658445
10     4        69       72  ...  None               69.953224             73.518774
11     4        73       74  ...  None               71.882730             71.882730
12     3        76       77  ...  None               85.213284             79.843598
13     3        79       80  ...  None               76.138498             56.866999
14     4        82       93  ...  None               56.934108             73.263111
15     3        94       95  ...  None               74.986473             74.315812
16     3       100      106  ...  None               56.868470             41.903201
17     3       116      122  ...  None               60.251103             39.636677
18     3       131      157  ...  None               60.695426             39.440125
19     3       199      234  ...  None               57.344673             58.419670
20     3       235      243  ...  None               63.477037             57.111951

[21 rows x 16 columns]",2914.T,14,50,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,44.08163265306123,97937.50829744748,100886.8279176817,267.0698251286302,-2.062491702552521,-8.243300461533845,-2.1207907607206478,1.5856383192905654,-1.4442684921749716,-1.3374996901371028,-1.723614780495967,-0.7254549525874764,-1.7898791042762943,0.0330708069599469,-2.92339414481414,-1.5518586750896568,333 days,168 days,8,12.5,7.738500603223697,-8.07691813752024,-3.089266594820461,63 days,19 days,0.2447672371589248,-2.984656595924066,-1.8096352058233292,-0.4199928921728524,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-26   98054.402880     0.028075              NaT
2016-12-27   98022.231982     0.028394              NaT
2016-12-28   97979.441943     0.028818              NaT
2016-12-29   98017.197802     0.028444              NaT
2016-12-30   97937.508297     0.029234         333 days

[245 rows x 3 columns]","   Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0     3        15       20  ...  None               52.894758             67.670745
1     3        24       28  ...  None               60.353560             53.945352
2     3        38       81  ...  None               51.611792             41.226366
3     3       124      138  ...  None               55.588495             41.039996
4     3       166      172  ...  None               59.432330             48.591059
5     3       178      195  ...  None               50.984524             35.757081
6     4       223      227  ...  None               54.850359             41.545522
7     4       237      244  ...  None               54.412992             52.572998

[8 rows x 16 columns]",2914.T,14,50,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-04,2018-01-02,363 days,38.43137254901961,99176.98467175559,100527.3974115696,569.2431577898103,-0.823015328244408,-2.2469117493864,-0.8133722803270849,0.7672389180617917,-0.5720710175653121,-1.0601290695495946,-1.42103697197625,-0.6054904256846464,-0.7415546475915802,0.03625450829347152,-1.3433280623841082,-0.34297162931905545,223 days,51 days,16,37.5,4.023197639902437,-4.043274001557679,-0.631512397331957,36 days,8 days,0.49466027390359957,-0.6097483644871415,-1.0280195430395562,-0.34408751434560625,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-10  100000.000000     0.000000              NaT
2017-01-11   99920.032911     0.000800              NaT
...                   ...          ...              ...
2017-12-27   99176.984672     0.013433              NaT
2017-12-28   99176.984672     0.013433              NaT
2017-12-29   99176.984672     0.013433              NaT
2018-01-01   99176.984672     0.013433              NaT
2018-01-02   99176.984672     0.013433         223 days

[255 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0      4         4        6  ...  None               49.625072             53.397720
1      4        32       57  ...  None               57.068828             43.742129
2      4        78       88  ...  None               61.297881             71.872120
3      4        89       90  ...  None               76.050716             78.211011
4      3        91       92  ...  None               80.834392             78.855439
5      3        94       95  ...  None               81.668487             83.392745
6      3        96       97  ...  None               74.555302             74.712690
7      3        98       99  ...  None               76.341470             75.496892
8      3       102      103  ...  None               70.159277             68.672333
9      3       109      117  ...  None               54.662537             44.998769
10     3       120      123  ...  None               57.626377             44.238658
11     4       199      201  ...  None               69.524617             77.086470
12     4       202      203  ...  None               78.270745             74.143876
13     4       205      214  ...  None               65.407905             58.007855
14     4       215      221  ...  None               55.513410             44.801399
15     4       235      245  ...  None               48.253294             42.980618

[16 rows x 16 columns]",2914.T,14,50,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2018-12-31,362 days,26.254826254826252,99163.45270785174,100033.1665390625,324.38271436594357,-0.8365472921482578,-23.99131654598183,-0.8140301836925823,0.6120976161003483,-0.5830907053825163,-1.329902555214541,-1.6603558900587363,-0.9362851780772814,-0.5664992892747366,0.011256072685963125,-0.8694254728716766,-0.44422468174833973,356 days,180 days,9,33.33333333333333,4.747432249561807,-4.074311941922299,-1.0941742172674407,20 days,10 days,0.4031562458923228,-1.0592354519599843,-1.075484117159544,-0.4620851631196869,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08   99980.976109     0.000190              NaT
2018-01-09  100033.166539     0.000000           4 days
...                   ...          ...              ...
2018-12-25   99163.452708     0.008694              NaT
2018-12-26   99163.452708     0.008694              NaT
2018-12-27   99163.452708     0.008694              NaT
2018-12-28   99163.452708     0.008694              NaT
2018-12-31   99163.452708     0.008694         356 days

[259 rows x 3 columns]","   Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0     4         3        8  ...  None               56.325803             34.587515
1     4        14       21  ...  None               61.540067             44.606681
2     5        86      100  ...  None               59.035874             41.878966
3     5       112      117  ...  None               54.756453             73.544113
4     4       118      119  ...  None               74.835173             63.126437
5     4       121      123  ...  None               68.507591             70.648464
6     4       128      137  ...  None               49.756298             46.622640
7     4       147      159  ...  None               64.454131             46.894850
8     5       247      251  ...  None               51.882104             37.704683

[9 rows x 16 columns]",2914.T,14,50,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-04,2019-12-30,360 days,51.45228215767634,99937.67059396414,100099.64917534807,516.4323729407241,-0.062329406035860305,0.04818402058246917,-0.06517338942489959,0.776301925959695,-0.04363466452985687,-0.08395366190072204,-0.11809693563197234,-0.06425242762917029,-0.06386568622174357,0.031883603055785865,-1.0143334941528526,-0.7165028445075938,312 days,178 days,14,35.714285714285715,4.529732861165459,-5.07811675233447,-0.022268803960290295,61 days,12 days,1.010387495764615,0.009313205841994123,-0.06932183414453948,-0.01978739947580005,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100060.959403     0.000000              NaT
2019-01-10   99972.230210     0.000887              NaT
...                   ...          ...              ...
2019-12-24   99978.286211     0.001212              NaT
2019-12-25   99971.186602     0.001283              NaT
2019-12-26  100001.362993     0.000982              NaT
2019-12-27   99961.091997     0.001384              NaT
2019-12-30   99937.670594     0.001618         312 days

[241 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0      5         3        4  ...  None               82.598567             74.860254
1      5         6        7  ...  None               81.311255             81.690459
2      5         8        9  ...  None               76.664676             84.922612
3      5        10       11  ...  None               85.629309             86.195440
4      5        12       13  ...  None               86.373299             75.617502
5      5        15       16  ...  None               74.583147             73.300454
6      5        19       20  ...  None               72.537421             72.638183
7      5        21       23  ...  None               68.571681             55.553188
8      5        26       33  ...  None               58.861478             74.442718
9      5        36       53  ...  None               65.798222             33.885805
10     5       122      130  ...  None               57.762351             52.654795
11     5       168      194  ...  None               59.074129             71.569051
12     5       195      196  ...  None               72.129512             63.185887
13     5       198      240  ...  None               65.467781             51.056009

[14 rows x 16 columns]",2914.T,14,50,2014-01-03,2019-01-02,2019-01-03,2020-01-02
