Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,52.38095238095239,100136.71755577938,100696.0851154319,640.6128608394288,0.13671755577938166,3.82657599604293,0.13671755578004152,1.5000992075119366,0.09541749901849084,0.09113900940378547,0.12529935658836025,0.09836561428247491,0.007889671304874002,0.033666621179803784,-1.38989175005233,-0.4882988313676418,260 days,71 days,16,43.75,6.990597467224585,-5.647888355078445,0.024322588597547323,37 days,11 days,1.07006155821334,0.09272372908207252,0.08940016126431263,0.026549666198063204,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27  100136.717556     0.005555              NaT
2010-12-28  100136.717556     0.005555              NaT
2010-12-29  100136.717556     0.005555              NaT
2010-12-30  100136.717556     0.005555              NaT
2010-12-31  100136.717556     0.005555         260 days

[252 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    738         6        7  ...  None               35.651388             55.121025
1    729         8       14  ...  None               69.760602             41.888093
2    737        29       50  ...  None               58.847273             73.480574
3    689        51       52  ...  None               72.474490             67.268373
4    683        54       55  ...  None               74.077896             68.514112
5    683        59       70  ...  None               65.492796             80.931411
6    639        71       72  ...  None               73.854968             74.495344
7    635        73       74  ...  None               75.466133             68.029898
8    641        76       77  ...  None               70.421609             65.309187
9    655        81       84  ...  None               47.191817             41.691375
10   688       132      145  ...  None               59.609990             51.309718
11   786       181      208  ...  None               52.756105             59.540653
12   730       210      213  ...  None               61.448886             72.536459
13   702       214      215  ...  None               72.308212             70.634245
14   698       218      219  ...  None               72.874234             67.319514
15   712       222      246  ...  None               60.952339             40.747136

[16 rows x 16 columns]",INTC,14,50,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,57.14285714285714,98665.87796396532,100385.30713850366,753.1775640389442,-1.334122036034678,20.427166579602115,-1.3341220360360007,1.7561327441680052,-0.9331851741473995,-0.7596931612752664,-1.0091243452522507,-0.7523450604148659,-2.2010510155165064,0.042440001460971814,-1.7732847681625308,-0.5810219956253887,315 days,88 days,19,36.84210526315789,8.523721791436467,-6.207795070893703,-0.7579640641959484,33 days,10 days,0.5735545819212391,-0.7035017601909113,-0.9094405622394519,-0.27654554064163434,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100028.308085     0.000000              NaT
2011-01-07   99979.365870     0.000489              NaT
...                   ...          ...              ...
2011-12-23   98741.326208     0.016377              NaT
2011-12-27   98741.326208     0.016377              NaT
2011-12-28   98605.189778     0.017733              NaT
2011-12-29   98733.686470     0.016453              NaT
2011-12-30   98665.877964     0.017128         315 days

[252 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    723         3        4  ...  None               41.475798             34.855458
1    702         7       14  ...  None               69.064942             60.185513
2    701        15       17  ...  None               67.467389             71.135294
3    696        21       36  ...  None               62.345408             47.047068
4    680        38       45  ...  None               50.059580             45.718098
5    689        76       78  ...  None               67.371088             75.232068
6    655        79       80  ...  None               76.172778             77.228439
7    647        81       82  ...  None               79.265268             74.353854
8    636        84       85  ...  None               79.065477             79.659010
9    625        86       87  ...  None               72.422009             63.911174
10   629        89       91  ...  None               69.297399             66.399469
11   627        93      104  ...  None               66.703697             44.462255
12   656       125      147  ...  None               59.609114             44.346690
13   689       176      190  ...  None               58.634614             49.343659
14   655       192      202  ...  None               56.628838             62.643605
15   602       204      208  ...  None               69.278625             70.299104
16   599       213      226  ...  None               54.666777             40.387358
17   576       231      240  ...  None               59.199777             42.936981
18   581       249      251  ...  None               52.044090             51.773720

[19 rows x 16 columns]",INTC,14,50,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,40.63745019920319,99566.56502910804,101100.17409015377,520.2596523621065,-0.4334349708919617,-9.84983167679245,-0.4351580407703226,1.1041104898928775,-0.29944941041548656,-0.3941254473658178,-0.5306903424767223,-0.27129289414888935,-0.17750881738936147,0.025982794620297647,-1.6040156235404446,-0.28937063102807165,265 days,40 days,13,46.15384615384615,6.072703794379464,-4.055949853092894,-0.4376644096681259,29 days,11 days,0.7054292440646234,-0.3988209593445555,-0.49576664285102856,-0.1937928250375992,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100007.536830     0.000000              NaT
...                   ...          ...              ...
2012-12-26   99690.828177     0.013940              NaT
2012-12-27   99623.348216     0.014608              NaT
2012-12-28   99488.391507     0.015942              NaT
2012-12-31   99478.511502     0.016040              NaT
2013-01-02   99566.565029     0.015169         265 days

[251 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    568         4        5  ...  None               86.929723             88.343347
1    568         6        7  ...  None               90.316913             86.559357
2    567        11       13  ...  None               65.829531             78.448457
3    543        14       15  ...  None               79.926207             79.926207
4    541        19       23  ...  None               64.643092             70.644186
5    534        26       27  ...  None               71.173967             65.917967
6    534        30       33  ...  None               60.615704             66.732369
7    542        37       58  ...  None               59.006061             73.118820
8    510        61       77  ...  None               65.064693             42.708293
9    513        80       88  ...  None               58.147760             41.784661
10   528       114      121  ...  None               60.447303             43.155199
11   537       149      162  ...  None               57.953750             36.313225
12   674       238      249  ...  None               51.796905             51.494448

[13 rows x 16 columns]",INTC,14,50,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,55.952380952380956,100522.96772119854,100616.12606808863,639.0919989918887,0.52296772119854,25.792439615434827,0.5229677211995964,1.525167275025275,0.36176394155600367,0.34289204191778233,0.48194571889806687,0.4305691705250496,-0.9028300362593724,0.055279678026450826,-1.214596299502524,-0.6041554975899754,156 days,71 days,16,37.5,6.7679646527173825,-5.487363570694173,0.2734120003833329,39 days,12 days,1.2954772852514578,0.33348697692695045,0.3646516056685592,0.0844494821787658,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26  100511.524837     0.000117              NaT
2013-12-27  100471.297167     0.000517              NaT
2013-12-30  100571.873051     0.000000          39 days
2013-12-31  100616.126068     0.000000              NaT
2014-01-02  100522.967721     0.000926              NaT

[252 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    645         5        6  ...  None               74.645435             79.090167
1    635         7        8  ...  None               79.090167             70.491275
2    630        10       11  ...  None               83.816379             44.406336
3    644        41       54  ...  None               60.224008             51.912891
4    635        57       62  ...  None               60.454755             46.130447
5    630        66       76  ...  None               63.881695             73.129390
6    582        77       80  ...  None               67.957640             72.632721
7    578        81       82  ...  None               72.946697             73.913688
8    563        83       84  ...  None               74.531997             73.284900
9    567        86       87  ...  None               76.260266             77.192368
10   558        88       89  ...  None               78.356976             67.260449
11   566        92      104  ...  None               60.817423             76.027847
12   546       105      119  ...  None               61.125268             44.083818
13   585       172      188  ...  None               58.811050             45.594944
14   583       196      225  ...  None               58.349792             46.238436
15   541       235      251  ...  None               62.506714             66.171768

[16 rows x 16 columns]",INTC,14,50,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,62.698412698412696,102186.06083602815,102452.30673884299,1095.1687025580904,2.1860608360281475,45.511074472452066,2.1860608360307454,1.6585590129191023,1.508384719166922,1.3180482690110782,2.4579792523564445,2.1888122891925805,-0.4477252289563447,0.05787132243117502,-0.9987429469509923,-0.23319918040516804,73 days,22 days,27,44.44444444444444,10.014174153841832,-4.238033059883136,0.7669884499690749,39 days,7 days,2.3912080873009067,0.8078188204169447,1.41215314771751,0.2577243973125525,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26  102452.306739     0.000000              NaT
2014-12-29  102348.975028     0.001009              NaT
2014-12-30  102321.047917     0.001281              NaT
2014-12-31  102100.421142     0.003435              NaT
2015-01-02  102186.060836     0.002599           7 days

[252 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    502         8        9  ...  None               76.540134             70.939621
1    531        52       63  ...  None               66.197360             66.660019
2    506        65       66  ...  None               74.471324             75.077319
3    495        67       93  ...  None               62.520139             47.594864
4    494        99      102  ...  None               65.400176             69.833887
5    481       104      105  ...  None               72.778953             73.497907
6    476       106      107  ...  None               78.657858             71.061878
7    470       109      112  ...  None               66.581599             81.683692
8    445       113      114  ...  None               80.472222             80.045840
9    442       116      117  ...  None               81.513880             81.682284
10   441       118      119  ...  None               83.168208             85.011200
11   432       120      121  ...  None               82.452902             83.266417
12   431       122      123  ...  None               82.443048             82.927857
13   429       124      125  ...  None               82.927857             83.955312
14   428       126      127  ...  None               80.373733             73.051380
15   434       129      130  ...  None               77.613261             77.308759
16   421       132      133  ...  None               81.114203             91.411647
17   391       134      135  ...  None               76.833373             76.833373
18   391       137      138  ...  None               81.059839             76.940838
19   392       144      160  ...  None               65.998716             68.187967
20   383       166      184  ...  None               59.502822             46.228627
21   381       186      188  ...  None               53.827811             38.809584
22   393       207      228  ...  None               56.435726             72.402170
23   357       229      230  ...  None               71.438263             73.481760
24   353       231      232  ...  None               71.309699             71.469922
25   353       233      234  ...  None               72.622910             66.176912
26   364       238      251  ...  None               53.855489             49.091985

[27 rows x 16 columns]",INTC,14,50,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,49.40239043824701,99842.80319988042,100379.95915678814,438.4100067736858,-0.15719680011957826,-1.2891558716640465,-0.15782258772545354,1.4306366929093886,-0.11006372414966714,-0.11031632874206553,-0.15770424962986684,-0.11085950579542729,-0.11132117954390683,0.03558578259156128,-1.4236270186580913,-0.5792098428953424,270 days,89 days,11,54.54545454545454,11.581622348805649,-5.368656160025837,-0.23077866161036464,50 days,15 days,0.9158473718546166,-0.13169599269819962,-0.10104724007961623,-0.0550715212530265,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09   99977.374119     0.000226              NaT
...                   ...          ...              ...
2015-12-24   99909.045361     0.004691              NaT
2015-12-28   99894.625338     0.004835              NaT
2015-12-29  100041.740483     0.003369              NaT
2015-12-30   99911.931037     0.004663              NaT
2015-12-31   99842.803200     0.005351          69 days

[251 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    353         4        5  ...  None               71.261451             65.239352
1    360        10       15  ...  None               48.826613             28.997178
2    391        70      105  ...  None               59.637680             39.436773
3    428       151      158  ...  None               46.312505             33.437347
4    439       169      191  ...  None               50.966304             74.215760
5    394       192      193  ...  None               75.127416             70.058749
6    396       195      197  ...  None               68.101846             71.814802
7    387       199      200  ...  None               76.208030             73.935778
8    369       203      204  ...  None               79.977132             75.435123
9    373       207      218  ...  None               65.461612             41.344526
10   365       223      250  ...  None               66.424883             49.074370

[11 rows x 16 columns]",INTC,14,50,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,60.71428571428571,101126.89987224921,101755.52179244524,485.28622255233927,1.1268998722492107,10.228266694159183,1.1268998722512968,1.4184052480696214,0.7853129895651012,0.7944837159795842,1.0628131182977443,1.1648202975705764,0.7324424022151627,0.03856542675596264,-0.9674452570938463,-0.29079933632289556,103 days,28 days,12,50.0,6.25279442440449,-6.212800270509717,0.8623245438504679,44 days,17 days,1.7077436093677896,0.944461946479321,0.7634687955200543,0.20561979155101784,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23  101198.733851     0.005472              NaT
2016-12-27  101227.057721     0.005193              NaT
2016-12-28  101102.413501     0.006418              NaT
2016-12-29  101110.912978     0.006335              NaT
2016-12-30  101126.899872     0.006178          84 days

[252 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    413        40       53  ...  None               57.337869             65.897615
1    394        58       81  ...  None               64.090255             34.570550
2    398        99      120  ...  None               60.777168             48.438455
3    381       125      131  ...  None               59.760658             73.781184
4    357       132      133  ...  None               74.133045             75.109594
5    355       134      135  ...  None               73.076782             72.750678
6    354       137      138  ...  None               76.586453             57.147834
7    360       140      171  ...  None               60.369395             72.037237
8    348       175      179  ...  None               52.390309             63.734239
9    332       182      202  ...  None               66.473766             36.284559
10   348       226      231  ...  None               51.596390             34.536640
11   347       236      251  ...  None               57.899266             51.761454

[12 rows x 16 columns]",INTC,14,50,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,50.79365079365079,99230.80039930932,100457.57946921299,1194.187020611226,-0.7691996006906847,31.62875442633606,-0.7691996006905177,1.0190549212218125,-0.5331551018054936,-0.7548166292826233,-1.0748573074859693,-0.5472066586239179,-2.036832789167626,0.04007850487534317,-1.4056839195357274,-0.331989987098269,244 days,60 days,30,36.666666666666664,4.728147887012477,-5.576428198512824,-0.27794198036728,19 days,6 days,0.7246652171154624,-0.2559913841527104,-0.6648378647759853,-0.14061641753541904,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-03  100000.000000     0.000000              NaT
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-26   99187.654458     0.012641              NaT
2017-12-27   99193.903085     0.012579              NaT
2017-12-28   99216.802102     0.012351              NaT
2017-12-29   99204.309579     0.012476              NaT
2018-01-02   99230.800399     0.012212         244 days

[252 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    334         5        7  ...  None               47.308842             55.640031
1    333         9       15  ...  None               59.433915             74.162638
2    324        16       18  ...  None               66.406024             58.181045
3    336        62       71  ...  None               59.364157             42.942665
4    335        75       79  ...  None               61.581691             75.881991
5    336        80       90  ...  None               50.208835             41.758489
6    332       100      110  ...  None               55.307908             44.580070
7    342       143      146  ...  None               60.486988             72.980994
8    327       147      148  ...  None               73.866722             70.046951
9    329       150      151  ...  None               70.716524             72.337190
10   328       152      159  ...  None               62.956308             43.232923
11   332       171      178  ...  None               56.421455             70.944613
12   320       180      182  ...  None               69.410585             70.170413
13   317       185      186  ...  None               73.546024             76.197459
14   314       187      188  ...  None               78.223706             83.893689
15   306       189      190  ...  None               85.348701             84.383310
16   301       192      193  ...  None               85.681866             86.674747
17   298       194      195  ...  None               81.142040             72.801140
18   299       198      199  ...  None               75.085013             75.322522
19   299       200      201  ...  None               78.678773             74.864877
20   293       203      204  ...  None               79.915795             80.619108
21   291       205      206  ...  None               76.530454             80.162757
22   274       207      208  ...  None               89.514301             89.069340
23   259       210      211  ...  None               92.378077             92.784022
24   253       212      213  ...  None               83.456187             84.832064
25   253       214      215  ...  None               85.001834             83.989453
26   259       219      220  ...  None               71.938353             67.266912
27   260       222      234  ...  None               57.611143             44.219039
28   260       242      244  ...  None               66.979928             72.587542
29   248       245      251  ...  None               64.950247             63.684862

[30 rows x 16 columns]",INTC,14,50,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,50.59760956175299,100284.1526899111,102677.32397671898,161.379791915599,0.2841526899111049,6.638868340670453,0.2852863856518173,2.6034261960338667,0.19663520116315336,0.10958113046816179,0.16381675531121045,0.122400109040212,-0.08994035771094555,0.0563489179820474,-2.3307690482374688,-0.43896653472717584,215 days,26 days,4,50.0,8.381002281585461,-7.522704191625172,0.4652981577449422,113 days,45 days,1.2223419723022553,0.7384047808691208,0.16554194846262243,0.0875675385524709,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2018-01-03  100000.00000     0.000000              NaT
2018-01-04  100000.00000     0.000000              NaT
2018-01-05  100000.00000     0.000000              NaT
2018-01-08  100000.00000     0.000000              NaT
2018-01-09  100000.00000     0.000000              NaT
...                  ...          ...              ...
2018-12-26  100284.15269     0.023308              NaT
2018-12-27  100284.15269     0.023308              NaT
2018-12-28  100284.15269     0.023308              NaT
2018-12-31  100284.15269     0.023308              NaT
2019-01-02  100284.15269     0.023308         215 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0   259        13       17  ...  None               64.752970             77.260475
1   246        36      115  ...  None               64.908863             40.230048
2   243       189      195  ...  None               60.417802             35.889173
3   243       209      243  ...  None               54.240503             42.285232

[4 rows x 16 columns]",INTC,14,50,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,63.49206349206349,102775.15567616165,102861.84668277133,939.3064069276046,2.775155676161652,40.16141683528037,2.7751556761592244,1.7328452731497104,1.9131565200203315,1.6015022917279602,3.0252195043695806,2.7043800783765364,1.1950158437183,0.0393447232931099,-1.0261707288663269,-0.28262116757266176,93 days,28 days,23,52.17391304347826,9.879287199388678,-9.427815654759879,1.1178163897767268,45 days,9 days,2.4847718907460457,1.2038533167700434,1.3399238702517926,0.3097770491273067,"RSIMomentumStrategy(n_fast=14,n_slow=50)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26  102807.310071     0.000530              NaT
2019-12-27  102853.408097     0.000082              NaT
2019-12-30  102816.177604     0.000444              NaT
2019-12-31  102816.177604     0.000444              NaT
2020-01-02  102775.155676     0.000843          69 days

[252 rows x 3 columns]","    Size  EntryBar  ExitBar  ...   Tag  Entry__rsi_indi…(C,14) Exit__rsi_indi…(C,14)
0    238         8        9  ...  None               85.529619             75.290503
1    235        11       12  ...  None               81.079265             66.235655
2    247        15       31  ...  None               49.953527             67.845412
3    220        34       35  ...  None               72.396188             74.583442
4    219        36       37  ...  None               75.037392             75.074282
5    219        38       39  ...  None               71.872308             73.358181
6    216        40       41  ...  None               75.935227             72.852246
7    217        46       48  ...  None               66.642582             61.454463
8    213        50       73  ...  None               63.902473             75.507189
9    199        75       76  ...  None               76.201310             75.447029
10   245       118      139  ...  None               56.357180             75.653121
11   223       140      147  ...  None               68.692699             37.096044
12   231       169      174  ...  None               63.242115             72.285870
13   220       175      206  ...  None               68.809773             72.936554
14   207       207      208  ...  None               70.129764             70.876932
15   207       209      210  ...  None               70.366569             70.210966
16   203       212      213  ...  None               73.162234             74.305506
17   200       214      215  ...  None               75.681014             76.347670
18   200       216      217  ...  None               76.598854             74.990707
19   201       221      222  ...  None               72.836592             73.310987
20   199       223      232  ...  None               67.589955             43.909776
21   201       239      249  ...  None               58.240672             65.559605
22   193       251      251  ...  None               72.249289             72.249289

[23 rows x 16 columns]",INTC,14,50,2014-01-03,2019-01-02,2019-01-03,2020-01-02
