Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-30,360 days,11.11111111111111,100002.8298869132,100009.15831007734,2.1627608595768777,0.0028298869131976974,-2.565392679945762,0.002934699078238623,0.03571114064319515,0.001980912430665782,0.08217881102035976,0.12673598995903415,0.10195317194583513,0.003753797301163638,0.00036014384666657506,-0.0287847746394565,-0.010775097342355378,21 days,10 days,1,100.0,0.5258117865101707,0.5258117865101707,0.5258117865101664,38 days,38 days,,0.5258117865101707,,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-24  100007.161240     0.000007              NaT
2010-12-27  100009.158310     0.000000           5 days
2010-12-28  100004.914719     0.000042              NaT
2010-12-29  100005.913315     0.000032              NaT
2010-12-30  100002.829887     0.000063           3 days

[243 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     1       216      242  ...      507.053128            11.785912           9.093477

[1 rows x 20 columns]",3382.T,15,60,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-04,2011-12-30,360 days,33.06122448979592,99971.12786607181,100036.60041685533,4.375442578230189,-0.028872133928191032,2.551099157519769,-0.029696929540745653,0.0711351705021237,-0.020211369139389035,-0.41747182625870094,-0.5728533087296013,-0.3665596572422629,-0.03247573067566151,0.0014125663194424645,-0.08101526983128604,-0.025051495595493908,161 days,40 days,2,0.0,-2.085196587450954,-3.1095121742445913,-2.5987008915958176,67 days,57 days,0.0,-2.5973543808477726,-4.519731462600858,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
2011-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-26   99971.127866     0.000654              NaT
2011-12-27   99971.127866     0.000654              NaT
2011-12-28   99971.127866     0.000654              NaT
2011-12-29   99971.127866     0.000654              NaT
2011-12-30   99971.127866     0.000654         161 days

[245 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     1       102      150  ...      548.374920             9.699709           13.31226
1     1       181      212  ...      545.444851            11.196530           10.86667

[2 rows x 20 columns]",3382.T,15,60,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-04,2012-12-28,359 days,28.62903225806452,99943.6364374012,100038.29725179286,7.652911050030545,-0.0563635625987954,1.1452074750196537,-0.05727239193932254,0.06370082224471466,-0.03956771897138944,-0.8990840293913869,-1.143368309839941,-0.49434082278842345,-0.05889022114428162,0.0022062889044999123,-0.11585608410057402,-0.047660542916668394,137 days,56 days,3,33.33333333333333,0.8853240543993841,-5.53439081947909,-2.9102834650475806,63 days,33 days,0.09317290062346192,-2.8722079735170953,-1.493486751085379,-3.34528887817914,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-10  100000.000000     0.000000              NaT
2012-01-11  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-21   99928.054292     0.001102              NaT
2012-12-25   99928.581270     0.001097              NaT
2012-12-26   99936.487947     0.001018              NaT
2012-12-27   99939.123384     0.000991              NaT
2012-12-28   99943.636437     0.000946         137 days

[248 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     1       130      174  ...      643.993524            10.562906          13.818830
1     1       209      221  ...      628.727989            12.405709          11.916304
2     1       235      247  ...      630.142424            10.240892           9.544338

[3 rows x 20 columns]",3382.T,15,60,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-04,2013-12-30,360 days,0.0,100000.0,100000.0,,0.0,40.98086971521611,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2013-01-04  100000.0          0.0               NaN
2013-01-07  100000.0          0.0               NaN
2013-01-08  100000.0          0.0               NaN
2013-01-09  100000.0          0.0               NaN
2013-01-10  100000.0          0.0               NaN
...              ...          ...               ...
2013-12-24  100000.0          0.0               NaN
2013-12-25  100000.0          0.0               NaN
2013-12-26  100000.0          0.0               NaN
2013-12-27  100000.0          0.0               NaN
2013-12-30  100000.0          0.0               NaN

[245 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",3382.T,15,60,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-06,2014-12-30,358 days,0.0,100000.0,100000.0,,0.0,11.852408207184082,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2014-01-06  100000.0          0.0               NaN
2014-01-07  100000.0          0.0               NaN
2014-01-08  100000.0          0.0               NaN
2014-01-09  100000.0          0.0               NaN
2014-01-10  100000.0          0.0               NaN
...              ...          ...               ...
2014-12-24  100000.0          0.0               NaN
2014-12-25  100000.0          0.0               NaN
2014-12-26  100000.0          0.0               NaN
2014-12-29  100000.0          0.0               NaN
2014-12-30  100000.0          0.0               NaN

[244 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",3382.T,15,60,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-30,359 days,0.0,100000.0,100000.0,,0.0,10.66400802038377,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2015-01-05  100000.0          0.0               NaN
2015-01-06  100000.0          0.0               NaN
2015-01-07  100000.0          0.0               NaN
2015-01-08  100000.0          0.0               NaN
2015-01-09  100000.0          0.0               NaN
...              ...          ...               ...
2015-12-24  100000.0          0.0               NaN
2015-12-25  100000.0          0.0               NaN
2015-12-28  100000.0          0.0               NaN
2015-12-29  100000.0          0.0               NaN
2015-12-30  100000.0          0.0               NaN

[244 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",3382.T,15,60,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,0.0,100000.0,100000.0,,0.0,-9.302476079957666,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2016-01-04  100000.0          0.0               NaN
2016-01-05  100000.0          0.0               NaN
2016-01-06  100000.0          0.0               NaN
2016-01-07  100000.0          0.0               NaN
2016-01-08  100000.0          0.0               NaN
...              ...          ...               ...
2016-12-26  100000.0          0.0               NaN
2016-12-27  100000.0          0.0               NaN
2016-12-28  100000.0          0.0               NaN
2016-12-29  100000.0          0.0               NaN
2016-12-30  100000.0          0.0               NaN

[245 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",3382.T,15,60,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-04,2018-01-02,363 days,0.0,100000.0,100000.0,,0.0,8.465284528941389,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2017-01-04  100000.0          0.0               NaN
2017-01-05  100000.0          0.0               NaN
2017-01-06  100000.0          0.0               NaN
2017-01-10  100000.0          0.0               NaN
2017-01-11  100000.0          0.0               NaN
...              ...          ...               ...
2017-12-27  100000.0          0.0               NaN
2017-12-28  100000.0          0.0               NaN
2017-12-29  100000.0          0.0               NaN
2018-01-01  100000.0          0.0               NaN
2018-01-02  100000.0          0.0               NaN

[255 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",3382.T,15,60,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2018-12-31,362 days,0.0,100000.0,100000.0,,0.0,7.403516271790791,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2018-01-03  100000.0          0.0               NaN
2018-01-04  100000.0          0.0               NaN
2018-01-05  100000.0          0.0               NaN
2018-01-08  100000.0          0.0               NaN
2018-01-09  100000.0          0.0               NaN
...              ...          ...               ...
2018-12-25  100000.0          0.0               NaN
2018-12-26  100000.0          0.0               NaN
2018-12-27  100000.0          0.0               NaN
2018-12-28  100000.0          0.0               NaN
2018-12-31  100000.0          0.0               NaN

[259 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",3382.T,15,60,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-04,2019-12-30,360 days,0.0,100000.0,100000.0,,0.0,-3.0989091592373823,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2019-01-04  100000.0          0.0               NaN
2019-01-07  100000.0          0.0               NaN
2019-01-08  100000.0          0.0               NaN
2019-01-09  100000.0          0.0               NaN
2019-01-10  100000.0          0.0               NaN
...              ...          ...               ...
2019-12-24  100000.0          0.0               NaN
2019-12-25  100000.0          0.0               NaN
2019-12-26  100000.0          0.0               NaN
2019-12-27  100000.0          0.0               NaN
2019-12-30  100000.0          0.0               NaN

[241 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",3382.T,15,60,2014-01-03,2019-01-02,2019-01-03,2020-01-02
