Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,26.58730158730159,100025.3538044701,100165.67512567523,20.771214435151503,0.025353804470098114,-3.7289774776465947,0.025353804472638686,0.2683814629404468,0.01769782326486169,0.09446928336576149,0.13879287016581587,0.09357506123410463,0.04025653273053308,0.003996465076490693,-0.27094617025372747,-0.080391540187522,100 days,23 days,2,50.0,9.624809584059173,-11.256280736164562,-1.3667737216349396,74 days,47 days,0.855061259545194,-0.8157355760526945,0.047436989205367826,0.04528863281919765,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27  100002.839043     0.001626              NaT
2010-12-28  100008.926430     0.001565              NaT
2010-12-29  100018.057511     0.001474              NaT
2010-12-30  100030.230980     0.001352              NaT
2010-12-31  100025.353804     0.001401          21 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0   159       142      155  ...       13.638058             0.408912           0.335853
1   228       199      251  ...       13.837458             0.317421           0.157807

[2 rows x 20 columns]",INTC,15,60,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,47.22222222222222,99666.18096226215,100126.73378995263,30.94343409701032,-0.3338190377378487,22.77254989850394,-0.3338190377366157,0.4799655535901709,-0.2331436393137598,-0.6955062404783623,-0.9288934601662762,-0.40215393061402316,-0.6306915845141123,0.013036420958540395,-0.8300777695419481,-0.24908822014265142,226 days,61 days,3,33.33333333333333,8.591342440673818,-11.77160805865374,-3.4580823980228215,93 days,55 days,0.4811833953907039,-3.0877562531620177,-0.7259419050847363,-0.614870938091171,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23   99667.953603     0.004582              NaT
2011-12-27   99682.991505     0.004432              NaT
2011-12-28   99651.975118     0.004742              NaT
2011-12-29   99682.051961     0.004441              NaT
2011-12-30   99666.180962     0.004600         226 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0   188        82      118  ...       14.726210             0.331268           0.289774
1   183       137      152  ...       15.020586             0.329508           0.457520
2   136       186      251  ...       16.559961             0.440861           0.380603

[3 rows x 20 columns]",INTC,15,60,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,5.179282868525896,99752.32392188466,100000.0,10.908330931413037,-0.24767607811534256,-21.052231925788252,-0.24866160754054567,0.11463806262378474,-0.17106390843028008,-2.1691016216541863,-2.2751794741822655,-1.0039791062289936,-0.22622513740988168,0.0010189390265639353,-0.2476760781153442,-0.2476760781153442,142 days,142 days,1,0.0,-8.704234221351994,-8.704234221351994,-8.704234221351992,16 days,16 days,0.0,-8.704234221351994,,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-26   99752.323922     0.002477              NaT
2012-12-27   99752.323922     0.002477              NaT
2012-12-28   99752.323922     0.002477              NaT
2012-12-31   99752.323922     0.002477              NaT
2013-01-02   99752.323922     0.002477         142 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0   150       155      167  ...       18.331308             0.325513           0.287681

[1 rows x 20 columns]",INTC,15,60,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,28.174603174603174,100309.39081072468,100341.93668259191,13.847069572339239,0.30939081072468255,23.815981420234937,0.30939081072658414,0.33509189943107365,0.21409182230216484,0.9233013727036512,1.2854843754140617,1.313424478438749,0.1241521169514252,0.00777791561492703,-0.2355604115848009,-0.07165951948974042,32 days,12 days,1,100.0,9.37505736899234,9.37505736899234,9.375057368992334,101 days,101 days,,9.37505736899234,,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2013-01-03  100000.000000     0.000000              NaT
2013-01-04  100000.000000     0.000000              NaT
2013-01-07  100000.000000     0.000000              NaT
2013-01-08  100000.000000     0.000000              NaT
2013-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2013-12-26  100305.393203     0.000000              NaT
2013-12-27  100291.338822     0.000140              NaT
2013-12-30  100326.476395     0.000000           4 days
2013-12-31  100341.936683     0.000000              NaT
2014-01-02  100309.390811     0.000324              NaT

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0   189       181      251  ...       18.039935             0.283651           0.276745

[1 rows x 20 columns]",INTC,15,60,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,11.904761904761903,100088.80601847332,100140.68597989497,6.898435360536107,0.08880601847331854,43.969175212401026,0.08880601847598424,0.13696120523034203,0.06147269313026005,0.6484027234327403,1.2172055007084859,0.871980224630419,-0.006706331408267985,0.0021722570282521085,-0.10184407394516759,-0.030218357861329093,28 days,9 days,1,100.0,5.296297493226294,5.296297493226294,5.296297493226287,44 days,44 days,,5.296297493226294,,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26  100134.886074     0.000058              NaT
2014-12-29  100117.001740     0.000237              NaT
2014-12-30  100096.700687     0.000439              NaT
2014-12-31  100073.983158     0.000666              NaT
2015-01-02  100088.806018     0.000518          28 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0    63       222      251  ...       26.721057             0.503493           0.539253

[1 rows x 20 columns]",INTC,15,60,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,43.02788844621514,100260.43225421861,100298.03970781872,14.076565301338114,0.2604322542186128,12.67612804714161,0.2614711882297449,0.23788062758512987,0.18223144199620567,1.0991697427575213,1.7570803596596734,1.4961801563551584,0.19277466438243007,0.005337401893115077,-0.1747591605991583,-0.05287668677729044,130 days,20 days,2,50.0,19.564347236542446,-2.7299455363755354,7.842619439654719,104 days,77 days,7.1665705325819165,8.417200850083455,0.7260662675904482,0.4206479677075326,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24  100272.954087     0.000174              NaT
2015-12-28  100270.228242     0.000201              NaT
2015-12-29  100298.039708     0.000000          13 days
2015-12-30  100273.500388     0.000245              NaT
2015-12-31  100260.432254     0.000375           2 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0    70        82      116  ...       25.134139             0.496205           0.453649
1    69       178      250  ...       26.807407             0.572894           0.462334

[2 rows x 20 columns]",INTC,15,60,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,43.25396825396825,100287.46929877005,100625.24607911262,19.348196121468547,0.28746929877005456,13.542302663778976,0.2874692987675731,0.44857744885897116,0.20058410845977814,0.6408465238250328,0.8335202772680624,0.8464821590188132,0.12816619441188554,0.011763369074910008,-0.33960467530796956,-0.1086806986626591,84 days,21 days,2,50.0,10.577171415840256,-1.632418958306361,4.293858259290206,145 days,77 days,6.479446567328585,4.472376228766947,0.8379344358524059,0.45591095063398424,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23  100299.062534     0.003242              NaT
2016-12-27  100303.634494     0.003196              NaT
2016-12-28  100283.518039     0.003396              NaT
2016-12-29  100284.889392     0.003382              NaT
2016-12-30  100287.469299     0.003357          84 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0   117       109      210  ...       29.309267             0.305006           0.556759
1    56       245      251  ...       29.079680             0.495080           0.423355

[2 rows x 20 columns]",INTC,15,60,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,57.14285714285714,100483.61037470076,100564.81564531924,20.156175387345204,0.4836103747007583,34.48028667290054,0.48361037470305845,0.3875570941264412,0.3345586042550863,1.2478429166497975,2.2054371086711937,1.5534941417696033,-0.1702890382338157,0.018964442469340027,-0.31130492333377724,-0.101146567991095,162 days,35 days,2,50.0,27.751494423714323,-6.3294146266538736,9.39176049862751,148 days,103 days,4.384527805596694,10.711039898530226,0.6064575597912139,0.37751234453404,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2017-01-03  100000.000000     0.000000              NaT
2017-01-04  100000.000000     0.000000              NaT
2017-01-05  100000.000000     0.000000              NaT
2017-01-06  100000.000000     0.000000              NaT
2017-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2017-12-26  100470.389101     0.000939              NaT
2017-12-27  100472.302843     0.000920              NaT
2017-12-28  100479.320864     0.000850              NaT
2017-12-29  100475.492220     0.000888              NaT
2018-01-02  100483.610375     0.000807          13 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0    82        77      117  ...       29.722772             0.376458           0.449073
1    76       149      251  ...       36.847430             0.405246           0.728561

[2 rows x 20 columns]",INTC,15,60,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,12.749003984063744,99971.32194171728,100048.0140126405,3.8922113457348106,-0.02867805828271958,-7.95027099542939,-0.02879229704526587,0.12832657176895304,-0.019854916421135904,-0.22436738275144816,-0.29632828890570506,-0.21324750863258937,-0.016738941823374445,0.0015017244652677792,-0.1350182106693354,-0.057531796681978276,30 days,13 days,1,0.0,-2.910161010339641,-2.910161010339641,-2.9101610103396403,46 days,46 days,0.0,-2.910161010339641,,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26   99966.633611     0.000813              NaT
2018-12-27   99970.144933     0.000778              NaT
2018-12-28   99971.321942     0.000767              NaT
2018-12-31   99971.321942     0.000767              NaT
2019-01-02   99971.321942     0.000767          30 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0    24       217      248  ...       40.181374             1.446396             1.3481

[1 rows x 20 columns]",INTC,15,60,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,40.87301587301587,100077.27089192561,100077.27089192561,8.582621338573913,0.07727089192561107,15.391174610621668,0.07727089192404168,0.1546620480320901,0.053488875590534946,0.49961120331219916,0.7960096550262153,0.40183425541646905,0.0270533335234766,0.0032627502235910324,-0.19229543246370717,-0.07327899308825123,155 days,55 days,2,50.0,14.376182452071262,-5.523894289813371,3.9510283935155543,111 days,73 days,2.6025448167214966,4.426144081128945,0.3821614513635905,0.27649552155181567,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26  100071.722559     0.000000         155 days
2019-12-27  100076.538931     0.000000              NaT
2019-12-30  100068.017775     0.000085              NaT
2019-12-31  100072.278192     0.000043              NaT
2020-01-02  100077.270892     0.000000           6 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0    26       133      158  ...       41.606255             0.841504           1.086423
1    21       175      251  ...       49.757152             1.001960           0.736547

[2 rows x 20 columns]",INTC,15,60,2014-01-03,2019-01-02,2019-01-03,2020-01-02
