Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades,Ticker,n_fast,n_slow,train_start,train_end,test_start,test_end
2010-01-04,2010-12-31,361 days,38.492063492063494,100086.75908320012,100092.18490038945,7.954737945140499,0.08675908320011512,8.767209903854145,0.08675908319812908,0.08261887439893123,0.060555197771017255,1.0501121424047313,1.642608690414596,1.2242448117927764,0.06820758216128456,0.002116009681788861,-0.070867429751309,-0.01653682636190562,86 days,17 days,2,50.0,12.114376221882155,-2.7676824915562093,4.408527554348574,106 days,69 days,4.377083086243212,4.673346865162974,0.6111345054064359,0.37931935748112283,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2010-01-04  100000.000000     0.000000              NaT
2010-01-05  100000.000000     0.000000              NaT
2010-01-06  100000.000000     0.000000              NaT
2010-01-07  100000.000000     0.000000              NaT
2010-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2010-12-27  100089.899920     0.000011              NaT
2010-12-28  100091.422960     0.000000           6 days
2010-12-29  100092.184900     0.000000              NaT
2010-12-30  100090.492251     0.000017              NaT
2010-12-31  100086.759083     0.000054           2 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0    12       144      165  ...       82.649153             1.498097           1.413270
1    11       177      251  ...       92.697783             1.133773           0.542956

[2 rows x 20 columns]",SPY,15,60,2005-01-03,2010-01-02,2010-01-03,2011-01-02
2011-01-03,2011-12-30,361 days,42.857142857142854,99914.96028956652,100022.00398107288,11.09337394494466,-0.08503971043348428,-3.246835174332256,-0.08503971043267722,0.1304077228115253,-0.05937052442163138,-0.6521063982965394,-0.8662119596846318,-0.4551935310713591,-0.07410739067963491,0.00336706952058252,-0.1868209994824066,-0.05238339092990818,245 days,67 days,3,33.33333333333333,1.7292552856112982,-7.495931556984393,-3.189570615876991,67 days,50 days,0.15610418450127797,-3.11610544824841,-1.1440281597630997,-1.6912572127685126,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2011-01-03  100000.000000     0.000000              NaT
2011-01-04  100000.000000     0.000000              NaT
2011-01-05  100000.000000     0.000000              NaT
2011-01-06  100000.000000     0.000000              NaT
2011-01-07  100000.000000     0.000000              NaT
...                   ...          ...              ...
2011-12-23   99919.846845     0.001021              NaT
2011-12-27   99920.632367     0.001013              NaT
2011-12-28   99907.592588     0.001144              NaT
2011-12-29   99917.725873     0.001043              NaT
2011-12-30   99914.960290     0.001070         245 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     9        64      108  ...      102.356142             0.990934           1.140879
1     9       135      149  ...      101.330156             1.301292           2.027364
2    10       204      251  ...       96.340643             1.998838           1.435996

[3 rows x 20 columns]",SPY,15,60,2006-01-03,2011-01-02,2011-01-03,2012-01-02
2012-01-03,2013-01-02,365 days,37.84860557768924,100045.7766467354,100082.07445256268,7.687551631294223,0.04577664673539402,5.82141576455798,0.04595906571553954,0.07286657687033388,0.0316024595146569,0.6307290350323953,1.0225939780901032,0.6858510552004906,0.026159785937280494,0.003369774912409651,-0.06701027193448672,-0.018171328640274875,110 days,21 days,2,100.0,4.7172628621909585,0.017727707078318746,2.340523172305309,124 days,69 days,,2.367495284634639,1.007241544346561,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2012-01-03  100000.000000     0.000000              NaT
2012-01-04  100000.000000     0.000000              NaT
2012-01-05  100000.000000     0.000000              NaT
2012-01-06  100000.000000     0.000000              NaT
2012-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2012-12-26  100026.058010     0.000560              NaT
2012-12-27  100024.837429     0.000572              NaT
2012-12-28  100015.009182     0.000670              NaT
2012-12-31  100030.297146     0.000517              NaT
2013-01-02  100045.776647     0.000363         110 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     9       128      213  ...      113.998456             1.502273           1.447655
1     8       242      250  ...      113.313145             1.008006           1.387433

[2 rows x 20 columns]",SPY,15,60,2007-01-03,2012-01-02,2012-01-03,2013-01-02
2013-01-03,2014-01-02,364 days,45.63492063492063,100075.2163127837,100081.39721496434,7.818896062813141,0.0752163127836975,19.05638262629116,0.07521631278275542,0.06463696280640319,0.05206680816900455,1.1636733769196255,1.877725556804494,1.5388541955569504,0.007310630345858868,0.003563408846763629,-0.04887812828526794,-0.009924463790614933,77 days,12 days,2,50.0,9.484121096570709,-1.6596127040536344,3.762762450664625,111 days,82 days,5.714659253574988,3.9122541962585378,0.7038845879312633,0.4131057895099987,"SmaCross(n_fast=15,n_slow=60)","                   Equity   DrawdownPct DrawdownDuration
Date                                                    
2013-01-03  100000.000000  0.000000e+00              NaT
2013-01-04  100000.000000  0.000000e+00              NaT
2013-01-07  100000.000000  0.000000e+00              NaT
2013-01-08  100000.000000  0.000000e+00              NaT
2013-01-09  100000.000000  0.000000e+00              NaT
...                   ...           ...              ...
2013-12-26  100076.637800  0.000000e+00              NaT
2013-12-27  100076.580656  5.710040e-07              NaT
2013-12-30  100076.409117  2.285083e-06              NaT
2013-12-31  100081.397215  0.000000e+00           5 days
2014-01-02  100075.216313  6.175875e-05              NaT

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     7       132      169  ...      134.266970             1.354010           1.261921
1     7       175      251  ...      144.964832             1.228336           1.071026

[2 rows x 20 columns]",SPY,15,60,2008-01-03,2013-01-02,2013-01-03,2014-01-02
2014-01-03,2015-01-02,364 days,28.174603174603174,99977.3131165333,100005.40338323974,7.319036674183317,-0.0226868834666966,11.504061452840835,-0.022686883467348817,0.0582717089520515,-0.015706852188213105,-0.3893292967607415,-0.5243460253415415,-0.34234754609834317,-0.056733831553249486,0.002959558954559068,-0.06626857334280922,-0.02658801304766441,106 days,44 days,2,50.0,1.7363080115115461,-3.757373212852428,-1.0486507284807267,56 days,51 days,0.46210687976705395,-1.010532600670441,-0.4363958280036435,-0.7742948858200871,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2014-01-03  100000.000000     0.000000              NaT
2014-01-06  100000.000000     0.000000              NaT
2014-01-07  100000.000000     0.000000              NaT
2014-01-08  100000.000000     0.000000              NaT
2014-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2014-12-26   99987.639377     0.000178              NaT
2014-12-29   99988.808353     0.000166              NaT
2014-12-30   99984.131687     0.000213              NaT
2014-12-31   99975.529163     0.000299              NaT
2015-01-02   99977.313117     0.000281         106 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     6       162      194  ...      163.358592             1.196378           2.231296
1     5       214      251  ...      167.589354             1.760829           2.379654

[2 rows x 20 columns]",SPY,15,60,2009-01-03,2014-01-02,2014-01-03,2015-01-02
2015-01-05,2015-12-31,360 days,23.904382470119522,99968.70777797322,100001.0102353874,10.486379913095616,-0.0312922220267792,0.3498795361620167,-0.03141687264753834,0.06226796815254405,-0.021905583721504307,-0.5045430833807407,-0.6841600275488634,-0.5397899539112999,-0.03198943774593007,0.0019927307747087393,-0.05820203288314785,-0.05820203288314785,154 days,154 days,3,33.33333333333333,1.9398796041807158,-4.44878285478169,-1.1925879518285165,68 days,28 days,0.35831525861119506,-1.1580036594579157,-0.6429024108459251,-0.6252460039534611,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2015-01-05  100000.000000     0.000000              NaT
2015-01-06  100000.000000     0.000000              NaT
2015-01-07  100000.000000     0.000000              NaT
2015-01-08  100000.000000     0.000000              NaT
2015-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2015-12-24   99966.930539     0.000341              NaT
2015-12-28   99964.927289     0.000361              NaT
2015-12-29   99968.707778     0.000323              NaT
2015-12-30   99968.707778     0.000323              NaT
2015-12-31   99968.707778     0.000323         154 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     5       143      151  ...      176.762475             1.393923           1.732914
1     5       156      159  ...      176.264638             1.680529           2.207990
2     5       202      248  ...      174.475329             1.816363           2.456857

[3 rows x 20 columns]",SPY,15,60,2010-01-03,2015-01-02,2015-01-03,2016-01-02
2016-01-04,2016-12-30,361 days,33.33333333333333,100043.31682843716,100052.65456014087,7.53419870693426,0.04331682843716408,10.260436760328144,0.04331682843679019,0.04799288474378065,0.030235809021061932,0.9025677174448985,1.3077262120854132,1.6940948643024412,0.0285687325202057,0.001437375061262666,-0.025569305090022976,-0.004677514553168746,114 days,15 days,2,100.0,2.5654447451247506,2.1094033462232016,2.337170015907275,81 days,60 days,,2.337424045673976,14.184464887636299,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2016-01-04  100000.000000     0.000000              NaT
2016-01-05  100000.000000     0.000000              NaT
2016-01-06  100000.000000     0.000000              NaT
2016-01-07  100000.000000     0.000000              NaT
2016-01-08  100000.000000     0.000000              NaT
...                   ...          ...              ...
2016-12-23  100049.540165     0.000031              NaT
2016-12-27  100051.977985     0.000007              NaT
2016-12-28  100043.836964     0.000088              NaT
2016-12-29  100043.619144     0.000090              NaT
2016-12-30  100043.316828     0.000093          17 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     5       128      184  ...      186.290930             2.543276           2.024555
1     5       225      251  ...      189.424254             1.779435           1.243407

[2 rows x 20 columns]",SPY,15,60,2011-01-03,2016-01-02,2016-01-03,2017-01-02
2017-01-03,2018-01-02,364 days,0.0,100000.0,100000.0,,0.0,15.822525343426355,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,"SmaCross(n_fast=15,n_slow=60)","              Equity  DrawdownPct  DrawdownDuration
Date                                               
2017-01-03  100000.0          0.0               NaN
2017-01-04  100000.0          0.0               NaN
2017-01-05  100000.0          0.0               NaN
2017-01-06  100000.0          0.0               NaN
2017-01-09  100000.0          0.0               NaN
...              ...          ...               ...
2017-12-26  100000.0          0.0               NaN
2017-12-27  100000.0          0.0               NaN
2017-12-28  100000.0          0.0               NaN
2017-12-29  100000.0          0.0               NaN
2018-01-02  100000.0          0.0               NaN

[252 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []",SPY,15,60,2012-01-03,2017-01-02,2017-01-03,2018-01-02
2018-01-03,2019-01-02,364 days,42.62948207171315,100035.37887668655,100079.90146226542,3.9562589518852365,0.0353788766865473,-3.509338338661515,0.03551985341871955,0.06871538327760561,0.024491735546616766,0.5169126871521866,0.6968794751848423,0.49200419909826654,0.04105766507536641,0.0016181934714750348,-0.0721942078620863,-0.01490323703974746,104 days,18 days,1,100.0,3.6495749911248017,3.6495749911248017,3.649574991124793,153 days,153 days,,3.6495749911248017,,,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2018-01-03  100000.000000     0.000000              NaT
2018-01-04  100000.000000     0.000000              NaT
2018-01-05  100000.000000     0.000000              NaT
2018-01-08  100000.000000     0.000000              NaT
2018-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2018-12-26  100035.378877     0.000445              NaT
2018-12-27  100035.378877     0.000445              NaT
2018-12-28  100035.378877     0.000445              NaT
2018-12-31  100035.378877     0.000445              NaT
2019-01-02  100035.378877     0.000445         104 days

[251 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     4        93      199  ...      256.731352              2.50424           3.552003

[1 rows x 20 columns]",SPY,15,60,2013-01-03,2018-01-02,2018-01-03,2019-01-02
2019-01-03,2020-01-02,364 days,46.03174603174603,100059.72217696217,100059.85242568221,6.641703176682863,0.0597221769621683,16.670198541300103,0.05972217696263993,0.0655899563627703,0.04134232460790699,0.9105384463487614,1.2323997462336778,0.9926244372086573,0.0016518459904240265,0.0034834816650729217,-0.06016593459111652,-0.01468825788111805,112 days,22 days,2,50.0,8.481351883294574,-1.2344354042450374,3.509525971595262,107 days,82 days,6.8706323993369605,3.6234582395247674,0.7501239560793809,0.4286119011591641,"SmaCross(n_fast=15,n_slow=60)","                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2019-01-03  100000.000000     0.000000              NaT
2019-01-04  100000.000000     0.000000              NaT
2019-01-07  100000.000000     0.000000              NaT
2019-01-08  100000.000000     0.000000              NaT
2019-01-09  100000.000000     0.000000              NaT
...                   ...          ...              ...
2019-12-26  100059.852426     0.000000              NaT
2019-12-27  100059.630960     0.000002              NaT
2019-12-30  100054.709725     0.000051              NaT
2019-12-31  100056.866159     0.000030              NaT
2020-01-02  100059.722177     0.000001           7 days

[252 rows x 3 columns]","   Size  EntryBar  ExitBar  ...  Exit_SMA(C,60)  Entry_atr(H,L,C,14) Exit_atr(H,L,C,14)
0     3       118      158  ...      266.221885             2.218862           5.028727
1     3       177      251  ...      284.078105             2.421788           1.793202

[2 rows x 20 columns]",SPY,15,60,2014-01-03,2019-01-02,2019-01-03,2020-01-02
